Altitude (km),Density (cm-3),CH4 mixing ration,Pressure (mbar),Temperature (K)
0,115000000000000000000,0.08,1440,93.9
0.5,113000000000000000000,0.08,1400,93.3
1,111000000000000000000,0.08,1370,92.7
1.5,109000000000000000000,0.08,1340,92.1
2,107000000000000000000,0.08,1300,91.5
3,103000000000000000000,0.08,1240,90.5
4,98800000000000000000,0.08,1180,89.5
5,94800000000000000000,0.074,1120,88.5
6,91100000000000000000,0.065,1060,87.3
8,83600000000000000000,0.055,957,85.5
10,76600000000000000000,0.045,859,83.6
12,69700000000000000000,0.04,770,82.1
14,63400000000000000000,0.034,688,80.6
16,57500000000000000000,0.029,614,79.2
18,51900000000000000000,0.026,547,78
20,46800000000000000000,0.023,487,76.7
22,42100000000000000000,0.021,432,75.7
24,37800000000000000000,0.02,383,74.7
26,33800000000000000000,0.018,340,73.9
28,30200000000000000000,0.017,300,73.1
30,26900000000000000000,0.017,265,72.3
32,23900000000000000000,0.016,235,71.8
34,21200000000000000000,0.015,207,71.5
36,18700000000000000000,0.015,183,71.4
38,16600000000000000000,0.015,161,71.2
40,14600000000000000000,0.015,142,71.1
42,12900000000000000000,0.015,126,71.1
44,11400000000000000000,0.015,111,71.2
46,10000000000000000000,0.015,9.81,71.4
48,8830000000000000000,0.015,8.67,71.5
50,7770000000000000000,0.015,76.7,71.7
52,6830000000000000000,0.015,67.9,72.2
54,6000000000000000000,0.015,60.1,72.8
56,5250000000000000000,0.015,53.4,73.8
58,4570000000000000000,0.015,47.5,75.4
60,3960000000000000000,0.015,42.3,77.6
62,3400000000000000000,0.015,37.9,80.9
64,2890000000000000000,0.015,34.2,85.9
66,2430000000000000000,0.015,31,92.6
68,2040000000000000000,0.015,28.3,100.5
70,1780000000000000000,0.015,26,106.1
72,1560000000000000000,0.015,24,111.9
74,1390000000000000000,0.015,22.3,116.6
76,1260000000000000000,0.015,20.7,119.7
78,1140000000000000000,0.015,19.3,122.7
80,1040000000000000000,0.015,18,125.8
82,945000000000000000,0.015,16.8,128.8
84,865000000000000000,0.015,15.7,131.5
86,795000000000000000,0.015,14.7,133.8
88,736000000000000000,0.015,13.8,135.8
90,686000000000000000,0.015,13,137.6
92,638000000000000000,0.015,12.2,139.1
94,592000000000000000,0.015,11.5,140.6
96,551000000000000000,0.015,10.8,142.1
98,514000000000000000,0.015,10.2,143.7
100,480000000000000000,0.015,9.61,145.1
102,448000000000000000,0.015,9.06,146.5
104,419000000000000000,0.015,8.56,147.8
106,392000000000000000,0.015,8.08,149
108,368000000000000000,0.015,7.63,150.1
110,346000000000000000,0.015,7.22,151
112,326000000000000000,0.015,6.82,151.9
114,306000000000000000,0.015,6.45,152.6
116,288000000000000000,0.015,6.1,153.4
118,272000000000000000,0.015,5.78,154.3
120,256000000000000000,0.015,5.48,155.3
122,241000000000000000,0.015,5.19,156.3
124,226000000000000000,0.015,4.91,157.5
126,213000000000000000,0.015,4.66,158.6
128,200000000000000000,0.015,4.42,159.6
130,189000000000000000,0.015,4.19,160.5
132,179000000000000000,0.015,3.9,161.2
134,169000000000000000,0.015,3.78,161.8
136,161000000000000000,0.015,3.59,162.4
138,152000000000000000,0.015,3.41,163
140,144000000000000000,0.015,3.24,163.7
142,136000000000000000,0.015,3.08,164.5
144,128000000000000000,0.015,2.93,165.3
146,122000000000000000,0.015,2.78,166
148,115000000000000000,0.015,2.65,166.7
150,109000000000000000,0.015,2.52,167.4
152,104000000000000000,0.015,2.4,167.9
154,98300000000000000,0.015,2.29,168.5
156,93400000000000000,0.015,2.17,169
158,88600000000000000,0.015,2.07,169.5
160,84100000000000000,0.015,1.97,169.9
162,79800000000000000,0.015,1.88,170.4
164,75500000000000000,0.015,1.79,170.8
166,72000000000000000,0.015,1.71,171
168,69100000000000000,0.015,1.63,171.2
170,65600000000000000,0.015,1.55,171.4
172,62700000000000000,0.015,1.48,171.6
174,59700000000000000,0.015,1.41,171.8
176,56800000000000000,0.015,1.35,172
178,54500000000000000,0.015,1.28,172.2
180,51600000000000000,0.015,1.22,172.4
182,49300000000000000,0.015,1.16,172.5
184,46700000000000000,0.015,1.11,172.7
186,44800000000000000,0.015,1.06,172.9
188,42500000000000000,0.015,1.01,173
190,40900000000000000,0.015,0.964,173.2
192,39000000000000000,0.015,0.92,173.4
194,37000000000000000,0.015,0.877,173.6
196,34700000000000000,0.015,0.837,173.8
198,33000000000000000,0.015,0.798,173.9
200,31100000000000000,0.015,0.759,174
500,4.00E+016,1.00E-002,0.1,180
