Lower altitude (km),Upper altitude (km),Feature type,Name,Temperature (K),Lower pressure (mbar),Upper pressure (mbar),Colour
-234.245878325,56.6999940366,Layer,Troposphere,300-100,100000,100,
56.6999940366,180.699989507,Layer,Stratosphere,120-250,100,1,
180.699989507,283.899985926,Layer,Thermosphere,250-500,1,0.1,
56.6999940366,56.6999940366,Boundary,Tropopause,,100,100,
180.699989507,180.699989507,Boundary,Stratopause,,1,1,
-163.241709661,-193.367596739,Cloud layer,Water ice,,30000,50000,Cyan
-98.5000154395,-139.329447839,Cloud layer,Ammonium Hydrosulphide ice,,10000,20000,Brown
-37.4547045096,-49.9288608867,Cloud layer,Ammonia ice,,3000,4000,Grey
-7.87174306254E-006,-21.7999382114,Cloud layer,Methane ice,,1000,2000,Blue
155.234853501,91.8899023342,Cloud layer,Hydrocarbon haze,,2,20,Orange
