Name,RA,Dec,AVM code,AVM description,Source
NGC 1,1.8159375,27.7080917,5.5.1;5.1.1,Spiral Galaxy,
NGC 2,1.8212667,27.6783694,5.5.1;5.1.1,Spiral Galaxy,
NGC 3,1.8200167,8.3016222,5;5.1.3,Lenticular Galaxy,
NGC 4,2.0787708,8.1210528,5,Galaxy,
NGC 5,1.9537417,35.3623500,5;5.1.4,Elliptical Galaxy,
NGC 6,2.3862500,33.3086667,;5.1.3,Lenticular Galaxy,
NGC 7,2.0848333,-29.9170000,5;5.1.1,Spiral Galaxy,
NGC 8,2.1887500,23.8388889,5,Galaxy,
NGC 9,2.2279708,23.8169222,5,Emission-line galaxy,
NGC 10,2.1438958,-33.8583111,5;5.1.1,Spiral Galaxy,
NGC 11,2.1770583,37.4478861,5;5.1.1,Spiral Galaxy,
NGC 12,2.1864667,4.6125333,5;5.1.1,Spiral Galaxy,
NGC 13,2.1988375,33.4333500,5.5.2;5.1.1,Spiral Galaxy,
NGC 14,2.1934167,15.8155278,5.1.7,Interacting Galaxies,
NGC 15,2.2602750,21.6244417,5.5.2;5.1.1,Spiral Galaxy,
NGC 16,2.2679167,27.7294528,5;5.1.3,Lenticular Galaxy,
NGC 17,2.7775500,-12.1078694,5.3.2.2;5.1.1,Spiral Galaxy,
NGC 18,2.3462333,27.7320722,3.6.1,Binary Stars,NED
NGC 19,2.6702917,32.9830833,;5.1.2,Barred Galaxy,
NGC 20,2.3862667,33.3086361,5.5.2;5.1.4,Elliptical Galaxy,
NGC 21,2.6703083,32.9831111,5.5.2;5.1.2,Barred Galaxy,
NGC 22,2.4507250,27.8323472,5.5.2;5.1.1,Spiral Galaxy,
NGC 23,2.4725458,25.9237389,5;5.1.2,Barred Galaxy,
NGC 24,2.4855917,-24.9631306,5.5.2;5.1.1,Spiral Galaxy,
NGC 25,2.4970417,-57.0208056,5.5.2;5.1.4,Elliptical Galaxy,
NGC 26,2.6078250,25.8317972,5.5.1;5.1.1,Spiral Galaxy,
NGC 27,2.6365667,28.9962417,5.5.2,Galaxy in Group of Galaxies,
NGC 28,2.6051875,-56.9891472,5.5.2;5.1.3,Lenticular Galaxy,
NGC 29,2.6953583,33.3528389,5.5.2;5.1.1,Spiral Galaxy,
NGC 30,2.7116167,21.9769611,3.6.1,Binary Stars,
NGC 31,2.6599333,-56.9865028,5;5.1.1,Spiral Galaxy,
NGC 32,2.7232792,18.7959972,3,Star,
NGC 33,2.7359917,3.6759250,3.6.1,Binary Stars,
NGC 34,2.7775500,-12.1078694,5.3.2.2;5.1.1,Spiral Galaxy,
NGC 35,2.7937750,-12.0207278,5,Galaxy,
NGC 36,2.8429875,6.3892444,5;5.1.2,Barred Galaxy,
NGC 37,2.8454542,-56.9573583,5.5.2;5.1.1,Spiral Galaxy,
NGC 38,2.9457667,-5.5862139,5,Galaxy,
NGC 39,3.0785542,31.0611028,5.5.2;5.1.1,Spiral Galaxy,
NGC 40,3.2542083,72.5219694,4.1.3,Planetary Nebula,
NGC 41,3.1998000,22.0233222,5.5.2,Galaxy in Group of Galaxies,
NGC 42,3.2348375,22.1002778,5.5.2;5.1.4,Elliptical Galaxy,
NGC 43,3.2530625,30.9153278,5.5.2;5.1.2,Barred Galaxy,
NGC 44,3.2750000,31.3000000,3.6.1,Binary Stars,
NGC 45,3.5166208,-23.1820917,5,Low Surface Brightness Galaxy,
NGC 46,3.5411667,5.9877361,3,Star,
NGC 47,3.6277292,-7.1674556,5.5.2,Galaxy in Group of Galaxies,
NGC 48,3.5092292,48.2348806,5;5.1.1,Spiral Galaxy,
NGC 49,3.5934792,48.2465389,5.5.2;5.1.3,Lenticular Galaxy,
