Name,RA,Dec,AVM code,AVM description,Source
M 1,83.6330833,22.0145000,4.1.4,SuperNova Remnant,Simbad
M 2,323.3625833,-0.8232500,3.6.4.2,Globular Cluster,Simbad
M 3,205.5484167,28.3772778,3.6.4.2,Globular Cluster,Simbad
M 4,245.8967500,-26.5257500,3.6.4.2,Globular Cluster,Simbad
M 5,229.6384167,2.0810278,3.6.4.2,Globular Cluster,Simbad
M 6,265.0833000,-32.2533000,3.6.4.1,Open (galactic) Cluster,Simbad
M 7,268.4625000,-34.7933000,3.6.4.1,Open (galactic) Cluster,Simbad
M 8,270.9042000,-24.3867000,4.2.1.1,HII (ionized) region,Simbad
M 9,259.7990833,-18.5162500,3.6.4.2,Globular Cluster,Simbad
M 10,254.2877083,-4.1003056,3.6.4.2,Globular Cluster,Simbad
M 11,282.7708000,-6.2700000,3.6.4.1,Open (galactic) Cluster,Simbad
M 12,251.8090833,-1.9485278,3.6.4.2,Globular Cluster,Simbad
M 13,250.4234750,36.4613194,3.6.4.2,Globular Cluster,Simbad
M 14,264.4006250,-3.2459167,3.6.4.2,Globular Cluster,Simbad
M 15,322.4930417,12.1670000,3.6.4.2,Globular Cluster,Simbad
M 16,274.7000000,-13.8067000,3.6.4.1,Open (galactic) Cluster,Simbad
M 17,275.1958000,-16.1717000,3.6.4.1,Open (galactic) Cluster,Simbad
M 18,274.9917000,-17.1017000,3.6.4.1,Open (galactic) Cluster,Simbad
M 19,255.6570417,-26.2679444,3.6.4.2,Globular Cluster,Simbad
M 20,270.6750000,-22.9717000,4.2.1.1,HII (ionized) region,Simbad
M 21,271.0542000,-22.4900000,3.6.4.1,Open (galactic) Cluster,Simbad
M 22,279.0997500,-23.9047500,3.6.4.2,Globular Cluster,Simbad
M 23,269.2667000,-18.9850000,3.6.4.1,Open (galactic) Cluster,Simbad
M 24,274.2000000,-18.5500000,3.6.4,Association of Stars,Simbad
M 25,277.9458000,-19.1167000,3.6.4.1,Open (galactic) Cluster,Simbad
M 26,281.3250000,-9.3833000,3.6.4.1,Open (galactic) Cluster,Simbad
M 27,299.9015792,22.7210417,4.1.3,Planetary Nebula,Simbad
M 28,276.1370417,-24.8698333,3.6.4.2,Globular Cluster,Simbad
M 29,305.9833000,38.5233000,3.6.4.1,Open (galactic) Cluster,Simbad
M 30,325.0921667,-23.1798611,3.6.4.2,Globular Cluster,Simbad
M 31,10.6847083,41.2687500,5,Galaxy,Simbad
M 32,10.6742708,40.8651694,5.1.7,Interacting Galaxies,Simbad
