Object,MJD,Year,Month,Day,Distance,H,Collide,Distance (km),DiscoveryYear,Warning,Size (m),Size Source,H Source
(Tunguska) 1908 MXX,2418149.51,1908,Jun.,30.01,4.26e-05,22.5,Y,6372.86929182,1908.45833333,0.0403242009127,85.0,I,C
(Chelyabinsk) 2013 DXX,2456338.64,2013,Feb.,15.14,4.26e-05,26.7,Y,6372.86929182,2013.125,0.00141095890444,12.2,I,C
2008 TC3,2454746.62,2008,Oct.,7.12,3.88e-05,30.86,Y,5804.39738316,2008.75,0.0147123287675,1.812,I,C
2014 AA,2456659.59,2014,Jan.,2.09,6.29e-05,30.9,Y,9409.70606703,2014.0,0.0057260273968,1.78,I,C
2011 CQ1,2455597.32,2011,Feb.,4.82,7.92e-05,32.1,N,11848.1513594,2011.08333333,0.0120639269403,1.008,I,C
2011 MD,2455740.21,2011,June,27.71,0.0001247,28.0,N,18654.8544763,2011.45833333,0.0285433789954,6.7,I,C
2009 VA,2455142.38,2009,Nov.,6.88,0.0001473,28.6,N,22035.7663541,2009.83333333,0.0156529680362,5.08,I,C
2008 TS26,2454748.64,2008,Oct.,9.14,0.0001832,33.2,N,27406.3299122,2008.75,0.0202465753428,0.614,I,C
2013 YB,2456650.03,2013,Dec.,23.53,0.0002388,31.5,N,35723.9715232,2013.95833333,0.0212009132415,1.3,I,C
2010 WA,2455517.66,2010,Nov.,17.16,0.0002597,30.0,N,38850.5670208,2010.875,0.00215068493185,2.6,I,C
(99942) Apophis,2462240.4,2029,Apr.,13.9,0.0002644,19.2,N,39553.6770131,2004.45833333,24.837283105,384.0,M,M
2014 RC,2456908.25,2014,Sept.,7.75,0.0002668,26.8,N,39912.7119028,2014.66666667,0.0203196347031,11.8,I,C
2014 LY21,2456812.43,2014,June,3.93,0.000271,29.1,N,40541.0229597,2014.41666667,0.00779908675827,4.02,I,C
(367943) Duende,2456339.31,2013,Feb.,15.81,0.0002747,24.0,N,41094.5350813,2012.125,1.00324657534,40.0,I,C
2008 US,2454760.49,2008,Oct.,20.99,0.0003004,31.4,N,44939.2003583,2008.79166667,0.011045662101,1.38,I,C
2008 VM,2454774.44,2008,Nov.,3.94,0.0003069,30.2,N,45911.5865178,2008.83333333,0.00759817351582,2.4,I,C
2014 GQ17,2467777.91,2044,June,11.41,0.0003575,27.1,N,53481.2387752,2014.25,30.2168767123,10.4,I,C
2010 XB,2455531.25,2010,Nov.,30.75,0.000358,29.6,N,53556.0377106,2010.91666667,-0.0022831050228,3.16,I,C
2014 RA,2456901.49,2014,Aug.,31.99,0.0003827,28.9,N,57251.1051169,2014.66666667,0.00179908675864,4.42,I,C
2012 KT42,2456076.79,2012,May,29.29,0.0003828,29.0,N,57266.064904,2012.375,0.0340136986301,4.2,I,C
2010 FD,2464027.51,2034,Mar.,6.01,0.0003911,26.0,N,58507.7272308,2010.20833333,23.9834748858,17.0,I,C
2012 KP24,2456076.14,2012,May,28.64,0.0003932,26.4,N,58821.8827592,2012.375,0.0322328767127,13.8,I,C
2010 XW58,2436182.79,1957,Dec.,10.29,0.0004208,24.8,N,62950.7839906,2010.91666667,-53.0117625571,29.0,I,C
2014 EC,2456723.38,2014,Mar.,6.88,0.000423,28.2,N,63279.8993061,2014.16666667,0.013826484018,6.14,I,C
2012 FS35,2456013.22,2012,Mar.,26.72,0.0004318,30.3,N,64596.3605683,2012.20833333,0.0265159817359,2.3,I,C
2012 BX34,2455954.14,2012,Jan.,27.64,0.0004427,27.6,N,66226.9773589,2012.04166667,0.0313196347036,7.74,I,C
2008 EF32,2454535.74,2008,Mar.,10.24,0.0004431,29.4,N,66286.8165072,2008.16666667,0.0202922374435,3.48,I,C
2009 TD17,2485634.48,2093,May,1.98,0.0004439,27.8,N,66406.4948037,2009.75,83.6389863014,7.22,I,C
2009 EJ1,2454890.32,2009,Feb.,27.82,0.0004686,28.3,N,70101.56221,2009.16666667,-0.00825570776306,5.86,I,C
2008 UM1,2454761.67,2008,Oct.,22.17,0.0004724,32.1,N,70670.0341187,2008.79166667,0.0142785388125,1.008,I,C
2009 DD45,2454893.07,2009,Mar.,2.57,0.0004828,25.8,N,72225.851974,2009.125,0.0409452054789,18.2,I,C
2013 XS21,2456638.48,2013,Dec.,11.98,0.0004882,29.4,N,73033.6804757,2013.91666667,0.0312237442922,3.48,I,C
2010 TD54,2455481.96,2010,Oct.,12.46,0.0005058,28.8,N,75666.6030001,2010.75,0.0293424657534,4.64,I,C
2010 RF12,2455448.38,2010,Sept.,8.88,0.0005307,28.4,N,79391.5899805,2010.66666667,0.0206757990863,5.58,I,C
2014 SG1,2456921.12,2014,Sept.,20.62,0.0005343,29.1,N,79930.142315,2014.70833333,0.0139132420095,4.02,I,C
2009 FH,2454909.01,2009,Mar.,18.51,0.0005681,26.6,N,84986.5503447,2009.20833333,0.00128310502237,12.6,I,C
2012 GD,2417375.42,1906,June,13.92,0.0005785,26.9,N,86542.3681999,2012.25,-105.872136986,11.4,I,C
2007 UW1,2498952.64,2129,Oct.,19.14,0.000584,22.7,N,87365.1564888,2007.79166667,122.085429224,77.0,I,C
2012 TM79,2456210.21,2012,Oct.,9.71,0.0006261,26.6,N,93663.2268453,2012.75,0.0245479452053,12.6,I,C
2008 UA202,2446722.38,1986,Oct.,18.88,0.0006348,29.4,N,94964.7283204,2008.79166667,-22.011173516,3.48,I,C
2012 TC4,2456212.73,2012,Oct.,12.23,0.0006358,26.7,N,95114.3261911,2012.75,0.0314520547945,12.2,I,C
2011 GP28,2455658.32,2011,Apr.,6.82,0.0006367,29.4,N,95248.9642747,2011.25,0.0125205479449,3.48,I,C
2012 HG2,2468754.56,2047,Feb.,13.06,0.0006403,27.0,N,95787.5166092,2012.29166667,34.8509634703,11.0,I,C
2013 HT25,2456401.0,2013,Apr.,18.5,0.0006617,28.9,N,98988.9110422,2013.29166667,0.00559360730585,4.42,I,C
2014 TL,2456932.16,2014,Oct.,1.66,0.0006711,27.8,N,100395.131027,2014.75,0.00249315068527,7.22,I,C
2014 JG55,2456788.35,2014,May,10.85,0.0006825,29.2,N,102100.546753,2014.33333333,0.025159817352,3.84,I,C
2000 SG344,2476868.01,2069,May,1.51,0.0006879,24.8,N,102908.375255,2000.70833333,68.6629269406,29.0,I,C
2013 RZ53,2434814.49,1954,Mar.,12.99,0.0006904,31.2,N,103282.369931,2013.66666667,-59.5105296804,1.54,I,C
2011 CA7,2455602.31,2011,Feb.,9.81,0.0006926,30.3,N,103611.485247,2011.08333333,0.0257351598175,2.3,I,C
2014 AF5,2456659.17,2014,Jan.,1.67,0.0006953,28.8,N,104015.399498,2014.0,0.00457534246561,4.64,I,C
2011 YC40,2455923.58,2011,Dec.,28.08,0.0007012,29.7,N,104898.026935,2011.95833333,0.0309269406396,3.02,I,C
2009 WW7,2444378.0,1980,May,18.5,0.0007024,-99.0,N,105077.54438,2009.875,-29.5174657534,-1.0,?,?
2014 JR24,2456784.95,2014,May,7.45,0.0007141,-99.0,N,106827.839467,2014.33333333,0.0158447488591,-1.0,?,?
1994 XM1,2449696.28,1994,Dec.,9.78,0.000718,-99.0,N,107411.271163,1994.91666667,0.0114977168944,-1.0,?,?
2010 RF12,2486491.49,2095,Sept.,5.99,0.0007219,-99.0,N,107994.702858,2010.66666667,85.0702922374,-1.0,?,?
2009 TB,2455105.38,2009,Sept.,30.88,0.0007322,-99.0,N,109535.560927,2009.75,-0.00238356164414,-1.0,?,?
2010 UE,2455485.97,2010,Oct.,16.47,0.0007322,-99.0,N,109535.560927,2010.79166667,-0.00133789954293,-1.0,?,?
2012 UE34,2466617.62,2041,Apr.,8.12,0.0007488,-99.0,N,112018.88558,2012.79166667,28.4963333333,-1.0,?,?
2013 LR6,2456451.7,2013,June,8.2,0.0007544,-99.0,N,112856.633656,2013.41666667,0.0194977168953,-1.0,?,?
2014 GC49,2456750.62,2014,Apr.,3.12,0.0007602,-99.0,N,113724.301306,2014.25,0.00512328767149,-1.0,?,?
2012 DY13,2455978.45,2012,Feb.,20.95,0.0007986,-99.0,N,119468.859541,2012.125,0.0145890410963,-1.0,?,?
2010 UJ,2497085.06,2124,Sept.,7.56,0.0008438,-99.0,N,126230.683297,2010.79166667,113.968771689,-1.0,?,?
2011 AM37,2455572.99,2011,Jan.,11.49,0.0008604,-99.0,N,128714.00795,2011.0,0.0287397260281,-1.0,?,?
2011 TO,2455833.14,2011,Sept.,28.64,0.0008614,-99.0,N,128863.605821,2011.75,-0.00852054794495,-1.0,?,?
2010 AL30,2455210.03,2010,Jan.,13.53,0.0008624,27.2,N,129013.203692,2010.0,0.0343287671228,9.8,I,E
2010 VN1,2455503.25,2010,Nov.,2.75,0.000864,-99.0,N,129252.560285,2010.83333333,0.00433789954354,-1.0,?,?
2011 EY11,2455627.64,2011,Mar.,7.14,0.0008761,-99.0,N,131062.69452,2011.16666667,0.0117990867582,-1.0,?,?
2013 CY32,2456329.15,2013,Feb.,5.65,0.0008997,-99.0,N,134593.204269,2013.08333333,0.0170776255707,-1.0,?,?
2008 CT1,2454501.79,2008,Feb.,5.29,0.0009013,-99.0,N,134832.560862,2008.08333333,0.0106118721462,-1.0,?,?
2011 BW11,2455586.76,2011,Jan.,25.26,0.0009147,-99.0,N,136837.172329,2011.04166667,0.0247990867574,-1.0,?,?
1999 SF10,2506247.01,2149,Oct.,8.51,0.0009264,24.0,N,138587.467416,1999.70833333,150.1533379,60.0,E,E
2011 UX255,2455863.24,2011,Oct.,28.74,0.0009374,-99.0,N,140233.043994,2011.79166667,0.0322785388132,-1.0,?,?
2013 WH25,2456625.53,2013,Nov.,29.03,0.0009449,-99.0,N,141355.028024,2013.875,0.0374109589036,-1.0,?,?
2014 EF,2428232.61,1936,Mar.,5.11,0.0009529,-99.0,N,142551.81099,2014.16666667,-78.0430776256,-1.0,?,?
2012 GK,2421791.86,1918,July,17.36,0.001002,-99.0,N,149897.066441,2012.25,-93.7723013699,-1.0,?,?
2013 EC20,2456360.61,2013,Mar.,9.11,0.001003,29.0,N,150046.664312,2013.16666667,0.0199360730589,4.2,I,E
2013 UX2,2456591.15,2013,Oct.,25.65,0.001004,-99.0,N,150196.262183,2013.79166667,0.0265525114153,-1.0,?,?
2009 WV51,2455160.33,2009,Nov.,24.83,0.001008,27.1,N,150794.653666,2009.875,0.0231643835618,10.4,I,E
2014 AG51,2456666.82,2014,Jan.,9.32,0.001024,-99.0,N,153188.219597,2014.0,0.0255342465748,-1.0,?,?
1998 KY26,2512702.4,2167,June,11.9,0.001031,24.95,N,154235.404692,1998.375,169.172671233,26.0,I,E
2012 FP35,2456012.74,2012,Mar.,26.24,0.001071,-99.0,N,160219.31952,2012.20833333,0.0252009132428,-1.0,?,?
2008 VB4,2463905.12,2033,Nov.,3.62,0.001075,-99.0,N,160817.711003,2008.83333333,25.0231598174,-1.0,?,?
2008 EZ7,2454534.56,2008,Mar.,9.06,0.001076,-99.0,N,160967.308873,2008.16666667,0.0170593607306,-1.0,?,?
2010 TW54,2455478.53,2010,Oct.,9.03,0.001079,-99.0,N,161416.102485,2010.75,0.019945205479,-1.0,?,?
2014 UF56,2456958.39,2014,Oct.,27.89,0.001099,-99.0,N,164408.059899,2014.79166667,0.0326894977172,-1.0,?,?
2014 GY44,2456746.52,2014,Mar.,30.02,0.001122,-99.0,N,167848.810925,2014.25,-0.00610958904099,-1.0,?,?
2013 RF32,2456540.98,2013,Sept.,5.48,0.001134,-99.0,N,169643.985374,2013.66666667,0.0141004566208,-1.0,?,?
2014 EF,2456722.64,2014,Mar.,6.14,0.001134,-99.0,N,169643.985374,2014.16666667,0.0117990867582,-1.0,?,?
2008 FP,2454554.99,2008,Mar.,29.49,0.001139,-99.0,N,170391.974727,2008.20833333,0.0313652968043,-1.0,?,?
2002 JE9,2424250.65,1925,Apr.,10.15,0.00114,-99.0,N,170541.572598,2002.33333333,-77.1192237443,-1.0,?,?
1991 BA,2448275.22,1991,Jan.,18.72,0.00115,-99.0,N,172037.551305,1991.04166667,-0.00681735159765,-1.0,?,?
2008 JL24,2454596.56,2008,May,10.06,0.001152,29.6,N,172336.747046,2008.33333333,0.0202557077628,3.16,I,E
2011 OD18,2455770.86,2011,July,28.36,0.001152,-99.0,N,172336.747046,2011.54166667,0.0291826484015,-1.0,?,?
2010 KO10,2455339.66,2010,May,23.16,0.001164,-99.0,N,174131.921495,2010.375,0.0144794520552,-1.0,?,?
2008 OT7,2454676.79,2008,July,29.29,0.00117,-99.0,N,175029.508719,2008.54166667,0.0317305936073,-1.0,?,?
2010 UC7,2497509.68,2125,Nov.,6.18,0.001178,24.7,N,176226.291685,2010.79166667,115.132114155,43.0,E,E
2009 WJ6,2455155.96,2009,Nov.,20.46,0.001187,-99.0,N,177572.672521,2009.875,0.0111917808217,-1.0,?,?
2009 DD45,2500549.34,2134,Mar.,3.84,0.001209,25.8,N,180863.825676,2009.125,125.126616438,19.0,E,E
2010 XW58,2436182.43,1957,Dec.,9.93,0.001217,-99.0,N,182060.608642,2010.91666667,-53.0127488584,-1.0,?,?
2013 EL89,2441407.86,1972,Mar.,31.36,0.001235,-99.0,N,184753.370314,2013.16666667,-40.9465022831,-1.0,?,?
2014 AW32,2456668.4,2014,Jan.,10.9,0.00125,-99.0,N,186997.338375,2014.0,0.0298630136983,-1.0,?,?
2010 XR,2455530.45,2010,Nov.,29.95,0.001287,-99.0,N,192532.459591,2010.91666667,-0.00447488584427,-1.0,?,?
2009 TM8,2504066.21,2143,Oct.,19.71,0.001297,-99.0,N,194028.438298,2009.75,134.136876712,-1.0,?,?
2012 BX34,2436595.94,1959,Jan.,27.44,0.001316,27.6,N,196870.797841,2012.04166667,-53.0048447489,7.74,I,E
2011 GW9,2455657.7,2011,Apr.,6.2,0.001327,-99.0,N,198516.374419,2011.25,0.0108219178087,-1.0,?,?
2014 OP2,2456862.86,2014,July,24.36,0.001334,-99.0,N,199563.559514,2014.54166667,0.0209634703192,-1.0,?,?
2012 VH77,2456244.37,2012,Nov.,12.87,0.001335,-99.0,N,199713.157384,2012.83333333,0.0348036529683,-1.0,?,?
2014 BT8,2488090.78,2100,Jan.,22.28,0.001335,-99.0,N,199713.157384,2014.04166667,86.0769086758,-1.0,?,?
2010 AR1,2433953.03,1951,Nov.,2.53,0.001338,-99.0,N,200161.950997,2010.0,-58.2040273973,-1.0,?,?
2012 JU,2456061.06,2012,May,13.56,0.001363,-99.0,N,203901.897764,2012.33333333,0.0325844748861,-1.0,?,?
2009 CC2,2454865.2,2009,Feb.,2.7,0.001372,-99.0,N,205248.2786,2009.08333333,0.0062557077631,-1.0,?,?
2013 PS13,2456513.72,2013,Aug.,9.22,0.001373,-99.0,N,205397.876471,2013.58333333,0.022748858448,-1.0,?,?
2008 GM2,2454560.41,2008,Apr.,3.91,0.001389,-99.0,N,207791.442402,2008.25,0.00454794520579,-1.0,?,?
2011 CA4,2445730.84,1984,Jan.,31.34,0.001396,-99.0,N,208838.627497,2011.08333333,-27.0193881279,-1.0,?,?
2009 OW6,2487937.6,2099,Aug.,22.1,0.001408,-99.0,N,210633.801946,2009.54166667,90.1572374429,-1.0,?,?
2000 SB45,2465339.34,2037,Oct.,7.84,0.001418,-99.0,N,212129.780653,2000.70833333,37.0775296804,-1.0,?,?
2013 BR27,2456308.48,2013,Jan.,15.98,0.001457,-99.0,N,217964.09761,2013.04166667,0.00211415525109,-1.0,?,?
2007 YP56,2454462.21,2007,Dec.,27.71,0.001463,-99.0,N,218861.684834,2007.95833333,0.0271735159818,-1.0,?,?
2013 RZ53,2499236.52,2130,July,30.02,0.001466,-99.0,N,219310.478446,2013.66666667,116.988182648,-1.0,?,?
2007 HB15,2454215.36,2007,Apr.,24.86,0.00147,-99.0,N,219908.869929,2007.29166667,0.017538812785,-1.0,?,?
2002 QW47,2515295.71,2174,July,18.21,0.001472,-99.0,N,220208.06567,2002.625,172.027630137,-1.0,?,?
2014 LN17,2456812.04,2014,June,3.54,0.00148,-99.0,N,221404.848636,2014.41666667,0.00673059360724,-1.0,?,?
2008 GF1,2488898.48,2102,Apr.,9.98,0.001497,-99.0,N,223948.012438,2008.25,94.0814520548,-1.0,?,?
2012 KA,2456065.27,2012,May,17.77,0.001501,-99.0,N,224546.403921,2012.375,0.0024520547945,-1.0,?,?
2012 XE54,2456272.92,2012,Dec.,11.42,0.001509,-99.0,N,225743.186886,2012.91666667,0.0296894977166,-1.0,?,?
2012 VJ38,2456245.58,2012,Nov.,14.08,0.001511,-99.0,N,226042.382628,2012.83333333,0.0381187214614,-1.0,?,?
2011 UT,2455847.3,2011,Oct.,12.8,0.001518,-99.0,N,227089.567723,2011.79166667,-0.0113926940646,-1.0,?,?
2013 RG,2456538.93,2013,Sept.,3.43,0.001522,-99.0,N,227687.959205,2013.66666667,0.00848401826534,-1.0,?,?
2002 JE9,2441052.64,1971,Apr.,11.14,0.001537,-99.0,N,229931.927266,2002.33333333,-31.0863744292,-1.0,?,?
2012 EG5,2456018.9,2012,Apr.,1.4,0.00154,23.97,N,230380.720878,2012.16666667,0.083744292237,40.6,I,E
2012 EZ1,2455987.94,2012,Mar.,1.44,0.001549,-99.0,N,231727.101714,2012.16666667,-0.00107762557104,-1.0,?,?
2014 UU56,2475403.08,2065,Apr.,27.58,0.001549,-99.0,N,231727.101714,2014.79166667,50.566086758,-1.0,?,?
2011 SE58,2455831.62,2011,Sept.,27.12,0.001593,-99.0,N,238309.408025,2011.70833333,0.0289817351602,-1.0,?,?
2011 YB63,2455928.9,2012,Jan.,2.4,0.001597,-99.0,N,238907.799508,2011.95833333,0.045502283105,-1.0,?,?
2008 EM68,2454536.14,2008,Mar.,10.64,0.001603,-99.0,N,239805.386732,2008.16666667,0.0213881278542,-1.0,?,?
2009 WJ6,2474879.72,2063,Nov.,21.22,0.001604,-99.0,N,239954.984603,2009.875,54.048890411,-1.0,?,?
2011 EM40,2455628.67,2011,Mar.,8.17,0.001622,-99.0,N,242647.746275,2011.16666667,0.0146210045659,-1.0,?,?
2010 KV7,2471047.12,2053,May,24.62,0.001622,26.0,N,242647.746275,2010.375,43.0486164384,13.0,E,E
2013 RZ53,2456554.45,2013,Sept.,18.95,0.001628,-99.0,N,243545.3335,2013.66666667,0.0510045662104,-1.0,?,?
2010 UY7,2455496.22,2010,Oct.,26.72,0.00163,-99.0,N,243844.529241,2010.79166667,0.0267442922379,-1.0,?,?
2013 RZ53,2423503.77,1923,Mar.,25.27,0.001643,-99.0,N,245789.30156,2013.66666667,-90.498803653,-1.0,?,?
2010 HP20,2455305.37,2010,Apr.,18.87,0.001645,-99.0,N,246088.497301,2010.29166667,0.00386757990896,-1.0,?,?
2007 YV56,2488435.71,2101,Jan.,2.21,0.001654,-99.0,N,247434.878138,2007.95833333,93.1052557078,-1.0,?,?
2011 CA4,2455592.68,2011,Jan.,31.18,0.001655,-99.0,N,247584.476008,2011.08333333,-0.000648401825856,-1.0,?,?
