Name,Code,Description,Pronunciation,Genitive,Area (sq deg),RA low hours,RA low minutes,RA high hours,RA high minutes,Dec low degrees,Dec low arcminutes,Dec high degrees,Dec high arcminutes,RA mid hours,RA mid minutes,Dec mid hours,Dec mid arcminutes,Messier objects,Finest NGC,Caldwell,Brightest stars,NGC objects,Best date,V
Andromeda,And,The Daughter of Cassiopeia,an-drom-E-du,Andromedae,722.278,22,57.37,02,39.54,+21,40.60,+53,11.22,00,48.46,+37,25.91,3,2,3,3,160,Oct 4,V
Antlia,Ant,The Air Pump,ant-lE-u,Antliae,238.901,09,26.94,11,05.92,-40,25.48,-24,32.55,10,16.43,-32,29.01,,,,,66,Feb 25,P
Apus,Aps,The Bird of Paradise,A-pus,Apodis,206.327,13,49.84,18,27.46,-83,07.20,-67,28.80,16,08.65,-75,18.00,,,1,,9,May 25,N
Aquarius,Aqr,The Water-bearer,u-kwer-E-us,Aquarii,979.854,20,38.32,23,56.44,-24,54.24,+03,19.54,22,17.38,-10,47.35,3,2,2,,146,Aug 27,V
Aquila,Aql,The Eagle,u-kwil-u or ak-wil-u,Aquilae,652.473,18,41.30,20,38.74,-11,51.99,+18,41.29,19,40.02,+03,24.65,,1,,1,41,Jul 18,V
Ara,Ara,The Altar,A-ru,Arae,237.057,16,34.28,18,10.69,-67,41.43,-45,29.16,17,22.49,-56,35.30,,,3,,17,Jun 13,N
Aries,Ari,The Ram,e-rEz or e-ri-Ez,Arietis,441.395,01,46.62,03,29.71,+10,21.79,+31,13.28,02,38.16,+20,47.54,,1,,1,81,Nov 1,V
Auriga,Aur,The Charioteer,o-rI-gu or o-rE-gu,Aurigae,657.438,04,37.91,07,30.94,+27,53.48,+56,09.89,06,04.42,+42,01.68,3,1,1,2,25,Dec 23,V
Bootes,Boo,The Herdsman,bO-O-tEz,Bootis,906.831,13,35.82,15,49.46,+07,21.63,+55,02.69,14,42.64,+31,12.16,,1,1,2,289,May 3,V
Caelum,Cae,The Chisel,sE-lum,Caeli,124.865,04,19.53,05,05.02,-48,44.31,-27,01.49,04,42.27,-37,52.90,,,,,16,Dec 2,P
Camelopardalis,Cam,The Giraffe,ka-mel-O-por-du-lis,Camelopardalis,756.828,03,15.60,14,27.13,+52,39.93,+86,05.85,08,51.37,+69,22.89,,3,2,,53,Feb 3,V
Cancer,Cnc,The Crab,kan-ser,Cancri,505.872,07,55.33,09,22.58,+06,28.20,+33,08.49,08,38.96,+19,48.35,2,,1,,125,Jan 31,V
Canes Venatici,CVn,The Hunting Dogs,kA-nEz vE-nat-i-sI,Canum Venaticorum,465.194,12,06.37,14,07.56,+27,50.63,+52,21.59,13,06.96,+40,06.11,5,9,4,,227,Apr 9,V
Canis Major,CMa,The Big Dog,kA-nis mA-jer,Canis Majoris,380.118,06,11.60,07,27.89,-33,15.03,-11,01.81,06,49.74,-22,08.42,1,1,2,5,39,Jan 3,V
Canis Minor,CMi,The Little Dog,kA-nis mI-ner,Canis Minoris,183.367,07,06.66,08,11.69,+00,22.16,+13,13.43,07,39.17,+06,25.63,,,,1,19,Jan 16,V
Capricornus,Cap,The Goat,kap-ri-kor-nus,Capricorni,413.947,20,06.77,21,59.08,-27,38.51,-08,24.26,21,02.93,-18,01.39,1,,,,28,Aug 8,V
Carina,Car,The Keel,ku-rI-nu or ku-rE-nu,Carinae,494.184,06,02.77,11,20.62,-75,41.04,-50,45.27,08,41.70,-63,13.16,,,5,4,44,Feb 1,N
Cassiopeia,Cas,The Queen,kas-E-O-pE-yu,Cassiopeiae,598.407,22,57.08,03,41.23,+46,40.55,+77,41.54,01,19.16,+62,11.04,2,7,6,3,41,Oct 12,V
Centaurus,Cen,The Centaur,sen-tor-us,Centauri,1060.422,11,05.35,15,03.19,-64,41.75,-29,59.69,13,04.27,-47,20.72,,,6,9,174,Apr 8,P
Cepheus,Cep,The King,sE-fE-us or sE-fUs,Cephei,587.787,20,01.94,09,03.33,+53,21.20,+88,39.83,02,32.64,+71,00.51,,4,5,1,36,Oct 30,V
Cetus,Cet,The Whale,sE-tus,Ceti,1231.411,23,56.41,03,23.79,-24,52.37,+10,30.86,01,40.10,-07,10.76,1,2,3,2,418,Oct 17,V
