Number,JD,Date,Greatest eclipse,DeltaT,Luna number,Saros number,Type,QSE
09420,2415183.64418,1900 Jun 13,03:27:37,-2,-1232,138,Nx,t-
09421,2415359.93506,1900 Dec 06,10:26:29,-1,-1226,143,N,a-
09422,2415508.27127,1901 May 03,18:30:38,-1,-1221,110,Nx,-t
09423,2415685.13563,1901 Oct 27,15:15:18,-0,-1215,115,P,-a
09424,2415862.28657,1902 Apr 22,18:52:40,0,-1209,120,T-,pp
09425,2416039.75238,1902 Oct 17,06:03:26,1,-1203,125,T+,-p
09426,2416216.50902,1903 Apr 12,00:12:59,2,-1197,130,P,a-
09427,2416394.13719,1903 Oct 06,15:17:33,2,-1191,135,P,t-
09428,2416541.62678,1904 Mar 02,03:02:34,3,-1186,102,N,-a
09429,2416571.02255,1904 Mar 31,12:32:28,3,-1185,140,N,a-
09430,2416748.23245,1904 Sep 24,17:34:44,3,-1179,145,N,t-
09431,2416896.29169,1905 Feb 19,19:00:02,4,-1174,112,P,-a
09432,2417072.65346,1905 Aug 15,03:40:59,5,-1168,117,P,-t
09433,2417250.82428,1906 Feb 09,07:46:58,5,-1162,122,T-,-p
09434,2417427.04178,1906 Aug 04,13:00:10,6,-1156,127,T+,pp
09435,2417605.06806,1907 Jan 29,13:38:00,6,-1150,132,P,t-
09436,2417781.68226,1907 Jul 25,04:22:27,7,-1144,137,P,a-
09437,2417959.05667,1908 Jan 18,13:21:36,8,-1138,142,N,t-
09438,2418107.08787,1908 Jun 14,14:06:32,8,-1133,109,N,-a
09439,2418136.39855,1908 Jul 13,21:33:55,8,-1132,147,N,a-
09440,2418283.4133,1908 Dec 07,21:55:09,9,-1127,114,Nx,-h
09441,2418461.5617,1909 Jun 04,01:28:51,10,-1121,119,T,-h
09442,2418637.87131,1909 Nov 27,08:54:41,10,-1115,124,T-,-p
09443,2418815.73213,1910 May 24,05:34:16,11,-1109,129,T,t-
09444,2418992.51449,1910 Nov 17,00:20:52,12,-1103,134,T,p-
09445,2419169.7475,1911 May 13,05:56:24,12,-1097,139,N,t-
09446,2419347.15052,1911 Nov 06,15:36:45,13,-1091,144,N,a-
09447,2419494.42657,1912 Apr 01,22:14:16,13,-1086,111,P,-h
09448,2419671.98947,1912 Sep 26,11:44:50,14,-1080,116,P,-t
09449,2419848.99848,1913 Mar 22,11:57:49,15,-1074,121,T+,-p
09450,2420026.03355,1913 Sep 15,12:48:19,15,-1068,126,T-,pp
09451,2420203.67579,1914 Mar 12,04:13:08,16,-1062,131,P,a-
09452,2420380.07983,1914 Sep 04,13:54:57,17,-1056,136,P,t-
09453,2420528.70674,1915 Jan 31,04:57:42,17,-1051,103,N,-a
09454,2420558.26356,1915 Mar 01,18:19:32,17,-1050,141,N,a-
09455,2420705.01712,1915 Jul 26,12:24:39,18,-1045,108,N,-a
09456,2420734.39395,1915 Aug 24,21:27:17,18,-1044,146,N,a-
09457,2420882.86089,1916 Jan 20,08:39:41,18,-1039,113,P,-t
09458,2421059.69869,1916 Jul 15,04:46:07,19,-1033,118,P,-a
09459,2421236.82278,1917 Jan 08,07:44:48,19,-1027,123,T+,pp
09460,2421414.40213,1917 Jul 04,21:39:04,20,-1021,128,T+,pp
09461,2421590.90731,1917 Dec 28,09:46:32,20,-1015,133,T,a-
09462,2421768.93615,1918 Jun 24,10:28:03,20,-1009,138,P,t-
09463,2421945.29584,1918 Dec 17,19:06:01,21,-1003,143,N,a-
09464,2422093.55139,1919 May 15,01:14:00,21,-998,110,N,-t
09465,2422270.48921,1919 Nov 07,23:44:28,21,-992,115,P,-a
09466,2422447.57718,1920 May 03,01:51:08,21,-986,120,T,-p
09467,2422625.09141,1920 Oct 27,14:11:38,22,-980,125,T+,-p
09468,2422801.82267,1921 Apr 22,07:44:39,22,-974,130,T,a-
09469,2422979.45416,1921 Oct 16,22:53:59,22,-968,135,P,t-
09470,2423126.97833,1922 Mar 13,11:28:48,23,-963,102,N,-a
09471,2423156.35569,1922 Apr 11,20:32:12,23,-962,140,N,a-
09472,2423333.53044,1922 Oct 06,00:43:50,23,-956,145,N,t-
09473,2423481.64733,1923 Mar 03,03:32:09,23,-951,112,P,-a
09474,2423657.94435,1923 Aug 26,10:39:52,23,-945,117,P,-t
09475,2423836.17286,1924 Feb 20,16:08:55,24,-939,122,T-,-p
09476,2424012.34757,1924 Aug 14,20:20:30,24,-933,127,T+,pp
09477,2424190.40442,1925 Feb 08,21:42:22,24,-927,132,P,t-
09478,2424366.9951,1925 Aug 04,11:52:57,24,-921,137,P,a-
09479,2424544.38917,1926 Jan 28,21:20:24,24,-915,142,N,t-
09480,2424692.39244,1926 Jun 25,21:25:07,24,-910,109,N,-a
09481,2424721.70847,1926 Jul 25,05:00:12,24,-909,147,N,a-
09482,2424868.76397,1926 Dec 19,06:20:07,24,-904,114,Nx,-a
09483,2425046.85047,1927 Jun 15,08:24:41,24,-898,119,T,-t
09484,2425223.23275,1927 Dec 08,17:35:10,24,-892,124,T,-p
09485,2425401.00691,1928 Jun 03,12:09:57,24,-886,129,T,tp
09486,2425577.87624,1928 Nov 27,09:01:47,24,-880,134,T,p-
09487,2425755.02622,1929 May 23,12:37:45,24,-874,139,N,t-
09488,2425932.50223,1929 Nov 17,00:03:13,24,-868,144,N,a-
09489,2426079.74924,1930 Apr 13,05:58:54,24,-863,111,P,-h
09490,2426257.29664,1930 Oct 07,19:07:10,24,-857,116,P,-t
09491,2426434.33883,1931 Apr 02,20:07:55,24,-851,121,T+,-p
09492,2426611.32534,1931 Sep 26,19:48:29,24,-845,126,T-,pp
09493,2426789.02267,1932 Mar 22,12:32:39,24,-839,131,P,a-
09494,2426965.37569,1932 Sep 14,21:01:00,24,-833,136,P,t-
09495,2427114.05385,1933 Feb 10,13:17:33,24,-828,103,N,-a
09496,2427143.60628,1933 Mar 12,02:33:03,24,-827,141,N,a-
09497,2427290.32367,1933 Aug 05,19:46:05,24,-822,108,N,-a
09498,2427319.70301,1933 Sep 04,04:52:20,24,-821,146,N,a-
09499,2427468.19632,1934 Jan 30,16:42:42,24,-816,113,P,-t
09500,2427645.01086,1934 Jul 26,12:15:38,24,-810,118,P,-a
09501,2427822.15804,1935 Jan 19,15:47:35,24,-804,123,T+,pp
09502,2427999.70839,1935 Jul 16,05:00:05,24,-798,128,T+,pp
09503,2428176.25692,1936 Jan 08,18:09:58,24,-792,133,T,a-
09504,2428354.22596,1936 Jul 04,17:25:23,24,-786,138,P,t-
09505,2428530.65913,1936 Dec 28,03:49:09,24,-780,143,N,a-
09506,2428678.82748,1937 May 25,07:51:34,24,-775,110,N,-t
09507,2428855.84683,1937 Nov 18,08:19:26,24,-769,115,P,-a
09508,2429032.86389,1938 May 14,08:44:00,24,-763,120,T,-t
09509,2429210.43521,1938 Nov 07,22:26:42,24,-757,125,T,-p
09510,2429387.13314,1939 May 03,15:11:43,24,-751,130,T,a-
09511,2429564.7755,1939 Oct 28,06:36:43,24,-745,135,P,t-
09512,2429712.32522,1940 Mar 23,19:48:19,24,-740,102,N,-a
09513,2429741.68501,1940 Apr 22,04:26:25,25,-739,140,N,a-
09514,2429918.83422,1940 Oct 16,08:01:17,25,-733,145,N,t-
09515,2430066.99707,1941 Mar 13,11:55:47,25,-728,112,P,-a
09516,2430243.24115,1941 Sep 05,17:47:15,25,-722,117,P,-t
09517,2430421.51521,1942 Mar 03,00:21:54,25,-716,122,T-,-p
09518,2430597.65862,1942 Aug 26,03:48:25,26,-710,127,T+,pp
09519,2430775.73499,1943 Feb 20,05:38:23,26,-704,132,P,t-
09520,2430952.31164,1943 Aug 15,19:28:46,26,-698,137,P,a-
09521,2431129.71872,1944 Feb 09,05:14:57,26,-692,142,N,t-
09522,2431277.69446,1944 Jul 06,04:40:01,27,-687,109,N,-a
09523,2431307.01865,1944 Aug 04,12:26:51,27,-686,147,N,a-
09524,2431454.11777,1944 Dec 29,14:49:35,27,-681,114,Nx,-a
09525,2431632.13498,1945 Jun 25,15:14:22,27,-675,119,P,-t
09526,2431808.59777,1945 Dec 19,02:20:47,27,-669,124,T,-p
