Number,JD,Date,Greatest eclipse,DeltaT,Luna number,Saros number,Type,QLE
09281,2415168.12079,1900 May 28,14:53:56,-2,-1232,126,T,-n
09282,2415345.80536,1900 Nov 22,07:19:43,-2,-1226,131,A,-n
09283,2415522.73181,1901 May 18,05:33:48,-1,-1220,136,T,n-
09284,2415699.81135,1901 Nov 11,07:28:21,-0,-1214,141,A,p-
09285,2415848.08688,1902 Apr 08,14:05:06,0,-1209,108,Pe,-t
09286,2415877.44046,1902 May 07,22:34:16,0,-1208,146,P,t-
09287,2416053.83354,1902 Oct 31,08:00:18,1,-1202,151,P,t-
09288,2416202.56624,1903 Mar 29,01:35:23,2,-1197,118,A,-p
09289,2416378.69435,1903 Sep 21,04:39:52,2,-1191,123,T,-p
09290,2416556.73662,1904 Mar 17,05:40:44,3,-1185,128,A,nn
09291,2416733.36413,1904 Sep 09,20:44:21,3,-1179,133,T,-n
09292,2416910.71697,1905 Mar 06,05:12:26,4,-1173,138,A,p-
09293,2417088.04683,1905 Aug 30,13:07:26,5,-1167,143,T,p-
09294,2417264.82176,1906 Feb 23,07:43:20,5,-1161,148,P,t-
09295,2417413.05161,1906 Jul 21,13:14:19,6,-1156,115,P,-t
09296,2417442.55058,1906 Aug 20,01:12:50,6,-1155,153,P,t-
09297,2417589.75397,1907 Jan 14,06:05:43,6,-1150,120,T,-p
09298,2417767.14204,1907 Jul 10,15:24:32,7,-1144,125,A,-p
09299,2417944.4065,1908 Jan 03,21:45:22,8,-1138,130,T,-n
09300,2418121.1874,1908 Jun 28,16:29:51,8,-1132,135,A,nn
09301,2418298.98921,1908 Dec 23,11:44:28,9,-1126,140,H,n-
09302,2418475.47127,1909 Jun 17,23:18:38,10,-1120,145,H,t-
09303,2418653.32278,1909 Dec 12,19:44:48,10,-1114,150,P,t-
09304,2418800.73765,1910 May 09,05:42:13,11,-1109,117,T,-t
09305,2418977.58926,1910 Nov 02,02:08:32,12,-1103,122,P,-t
09306,2419155.43567,1911 Apr 28,22:27:22,12,-1097,127,T,-n
09307,2419331.67572,1911 Oct 22,04:13:02,13,-1091,132,A,-n
09308,2419509.9822,1912 Apr 17,11:34:22,14,-1085,137,H,p-
09309,2419686.06683,1912 Oct 10,13:36:14,14,-1079,142,T,p-
09310,2419864.23133,1913 Apr 06,17:33:07,15,-1073,147,P,t-
09311,2420011.36958,1913 Aug 31,20:52:12,15,-1068,114,P,-t
09312,2420040.69848,1913 Sep 30,04:45:49,15,-1067,152,P,t-
09313,2420188.50904,1914 Feb 25,00:13:01,16,-1062,119,A,-p
09314,2420366.02392,1914 Aug 21,12:34:27,17,-1056,124,T,-p
09315,2420542.68981,1915 Feb 14,04:33:20,17,-1050,129,A,nn
09316,2420720.45307,1915 Aug 10,22:52:25,18,-1044,134,A,nn
09317,2420897.16691,1916 Feb 03,16:00:21,18,-1038,139,T,p-
09318,2421074.58762,1916 Jul 30,02:06:10,19,-1032,144,A,p-
09319,2421222.36553,1916 Dec 24,20:46:22,19,-1027,111,P,-t
09320,2421251.81147,1917 Jan 23,07:28:31,19,-1026,149,P,t-
09321,2421399.05302,1917 Jun 19,13:16:21,20,-1021,116,P,-t
09322,2421428.61299,1917 Jul 19,02:42:42,20,-1020,154,Pb,t-
09323,2421576.89398,1917 Dec 14,09:27:20,20,-1015,121,A,-t
09324,2421753.42203,1918 Jun 08,22:07:43,20,-1009,126,T,-p
09325,2421931.1403,1918 Dec 03,15:22:02,21,-1003,131,A,-n
09326,2422108.04786,1919 May 29,13:08:55,21,-997,136,T,n-
09327,2422285.13486,1919 Nov 22,15:14:12,21,-991,141,A,p-
09328,2422462.76036,1920 May 18,06:14:55,21,-985,146,P,t-
09329,2422639.16128,1920 Nov 10,15:52:15,22,-979,151,P,t-
09330,2422787.88543,1921 Apr 08,09:15:01,22,-974,118,A,-t
09331,2422964.02498,1921 Oct 01,12:35:58,22,-968,123,T,-p
09332,2423142.04544,1922 Mar 28,13:05:26,23,-962,128,A,nn
09333,2423318.6948,1922 Sep 21,04:40:31,23,-956,133,T,-n
09334,2423496.03123,1923 Mar 17,12:44:58,23,-950,138,A,p-
09335,2423673.36631,1923 Sep 10,20:47:29,23,-944,143,T,p-
09336,2423850.15579,1924 Mar 05,15:44:20,24,-938,148,P,t-
09337,2423998.33218,1924 Jul 31,19:58:20,24,-933,115,P,-t
09338,2424027.84931,1924 Aug 30,08:23:00,24,-932,153,P,t-
09339,2424175.12087,1925 Jan 24,14:54:03,24,-927,120,T,-p
09340,2424352.40882,1925 Jul 20,21:48:42,24,-921,125,A,-p
09341,2424529.77567,1926 Jan 14,06:36:58,24,-915,130,T,-n
09342,2424706.46252,1926 Jul 09,23:06:02,24,-909,135,A,nn
09343,2424884.34922,1927 Jan 03,20:22:53,24,-903,140,A,n-
09344,2425060.76628,1927 Jun 29,06:23:27,24,-897,145,T,t-
09345,2425238.66645,1927 Dec 24,03:59:41,24,-891,150,P,t-
09346,2425386.05856,1928 May 19,13:24:20,24,-886,117,T-,-t
09347,2425415.35241,1928 Jun 17,20:27:28,24,-885,155,Pb,t-
09348,2425562.90861,1928 Nov 12,09:48:24,24,-880,122,P,-t
09349,2425740.75734,1929 May 09,06:10:34,24,-874,127,T,-n
09350,2425917.00359,1929 Nov 01,12:05:10,24,-868,132,A,-n
09351,2426095.29414,1930 Apr 28,19:03:34,24,-862,137,H,p-
09352,2426271.40547,1930 Oct 21,21:43:53,24,-856,142,T,p-
09353,2426449.53166,1931 Apr 18,00:45:35,24,-850,147,P,t-
09354,2426596.69543,1931 Sep 12,04:41:25,24,-845,114,Pe,-t
09355,2426626.03866,1931 Oct 11,12:55:40,24,-844,152,P,t-
09356,2426773.83044,1932 Mar 07,07:55:50,24,-839,119,A,-p
09357,2426951.33589,1932 Aug 31,20:03:41,24,-833,124,T,-p
09358,2427128.0324,1933 Feb 24,12:46:39,24,-827,129,A,nn
09359,2427305.74249,1933 Aug 21,05:49:11,24,-821,134,A,nn
09360,2427482.52686,1934 Feb 14,00:38:41,24,-815,139,T,p-
09361,2427659.85958,1934 Aug 10,08:37:48,24,-809,144,A,p-
09362,2427807.73317,1935 Jan 05,05:35:46,24,-804,111,Pe,-t
09363,2427837.17801,1935 Feb 03,16:16:20,24,-803,149,P,t-
09364,2427984.33317,1935 Jun 30,19:59:46,24,-798,116,P,-t
09365,2428013.88644,1935 Jul 30,09:16:28,24,-797,154,P,t-
09366,2428162.24991,1935 Dec 25,17:59:52,24,-792,121,A,-t
09367,2428338.72258,1936 Jun 19,05:20:31,24,-786,126,T,-p
09368,2428516.47792,1936 Dec 13,23:28:12,24,-780,131,A,-n
09369,2428693.36183,1937 Jun 08,20:41:02,24,-774,136,T,n-
09370,2428870.46233,1937 Dec 02,23:05:45,24,-768,141,A,p-
09371,2429048.07661,1938 May 29,13:50:19,24,-762,146,T,t-
09372,2429224.49473,1938 Nov 21,23:52:25,24,-756,151,P,t-
