P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
"11 Com b","3.0000000","6165.8633","-476.74200","476.74200","","","","2007","2014-05-14","326.03000","-0.32000000","0.32000000","1.2900000","-0.050000000","0.050000000","0.23100000","-0.0050000000","0.0050000000","","","","94.800000","-1.5000000","1.5000000","2452899.6","-1.6000000","1.6000000","13.800000","","","","","","","","Radial Velocity","","","","","11 Com","185.17928","17.792868","4.7400000","93.370000","-1.9200000","1.9200000","-0.35000000","-0.090000000","0.090000000","2.7000000","-0.30000000","0.30000000","19.000000","-2.0000000","2.0000000","K0 III","","","","4742.0000","-100.00000","100.00000","","","2.3100000","HD 107383, HIP 60202","","","","","0.13067063","1.3244178","0.99201000","1.5879900","1.2987592","101.01141","64.855456","166.19194","799.44963","722.98875","914.73942","Jovian","19.000000","K","12.345286","12 20 43.0286","+17 47 34.3248","163.54680","10.132812","24.763411","12.834754","23.477907","13.586847","23.477907","12.390643","23.477907","34.529063","0.47646024","0.64240028","0","0","Hot","0","0.083813263","Coma Berenices","Com","Berenice's Hair","12.082709","6165.8633","1.2900000"
"11 UMi b","3.0000000","4684.7848","-794.57001","794.57001","","","","2009","2018-09-06","516.21997","-3.2000000","3.2000000","1.5300000","-0.070000000","0.070000000","0.080000000","-0.030000000","0.030000000","","","","","","","","","","12.200000","","","","","","","","Radial Velocity","","","","","11 UMi","229.27454","71.823898","5.0160000","125.72000","-1.9700000","1.9700000","-0.020000000","","","2.7800000","-0.69000000","0.69000000","29.790000","-2.8400000","2.8400000","K4 III","","","","4213.0000","-46.000000","46.000000","","","1.9300000","HD 136726, HIP 74793","","","","","0.16755064","1.5348960","1.4076000","1.6524000","1.5312267","107.35118","91.741348","126.42617","819.07569","788.47184","854.28770","Jovian","29.790000","K","15.284970","15 17 05.8915","+71 49 26.0328","250.49294","12.770059","31.984271","16.175280","30.323783","17.134143","30.323783","15.615215","30.323783","42.732816","0.19389083","0.64868332","0","0","Hot","0","0.082414476","Ursa Minor","UMi","Little Bear","12.229641","4684.7848","1.5300000"
"14 And b","3.0000000","1525.5744","","","","","","2008","2014-05-14","185.84000","-0.23000000","0.23000000","0.83000000","","","0.0000000","","","","","","0.0000000","","","2452861.4","-1.5000000","1.5000000","11.000000","","","","","","","","Radial Velocity","","","","","14 And","352.82257","39.236198","5.2270000","75.590000","-0.71000000","0.71000000","-0.24000000","-0.030000000","0.030000000","2.2000000","-0.20000000","0.10000000","11.000000","-1.0000000","1.0000000","G8 III","","","","4813.0000","-20.000000","20.000000","","","2.6300000","HD 221345, HIP 116076","","","","","0.073485255","0.83000000","0.83000000","0.83000000","0.83000002","84.446427","84.446427","84.446427","772.30746","772.30746","772.30746","Jovian","11.000000","G","23.521506","23 31 17.4215","+39 14 10.3128","58.175144","6.0252302","14.680087","7.6318669","13.918028","8.0784040","13.918028","7.3677796","13.918028","20.593611","0.50275224","0.60001028","0","0","Hot","0","0.081917127","Andromeda","And","Andromeda","12.848516","1525.5744","0.83000000"
"14 Her b","3.0000000","1481.0785","-47.674200","47.674200","","","","2002","2018-09-06","1773.4000","-2.5000000","2.5000000","2.9300000","-0.080000000","0.080000000","0.37000000","0.0000000","0.0000000","","","","","","","","","","163.00000","","","","","","","","Radial Velocity","","","","","14 Her","242.60130","43.817646","6.6100000","17.940000","-0.010000000","0.010000000","0.41000000","","","0.90000000","-0.040000000","0.040000000","0.93000000","-0.010000000","0.010000000","K0 V","","","","5338.0000","-25.000000","25.000000","","","4.4500000","HD 145675, HIP 79248","","","","","0.21799100","3.1305585","1.8459000","4.0141000","2.9825498","0.078886561","0.039047429","0.18465135","131.38424","113.25125","167.00637","Jovian","0.93000000","K","16.173421","16 10 24.3158","+43 49 03.5256","0.62917118","0.61059549","1.4579131","0.77340372","1.3822336","0.81817864","1.3822336","0.74661526","1.3822336","2.1416484","0.91975583","0.44541547","0","0","Cold","0","0.14524062","Hercules","Her","Hercules","12.865261","1481.0785","2.9300000"
"16 Cyg B b","3.0000000","565.73385","-25.426240","25.426240","","","","1996","2018-09-06","798.50000","-1.0000000","1.0000000","1.6600000","-0.030000000","0.030000000","0.68000000","-0.020000000","0.020000000","","","","","","","","","","78.500000","","","","","","","","Radial Velocity","","","","","16 Cyg B","295.46655","50.517525","6.2500000","21.150000","-0.010000000","0.010000000","0.060000000","","","1.0800000","-0.040000000","0.040000000","1.1300000","-0.010000000","0.010000000","G2.5 V","","","","5750.0000","-8.0000000","8.0000000","","","4.3600000","HD 186427, HIP 96901","","","","","0.042832433","2.0437920","0.53120000","2.7888000","1.7748696","0.61897215","0.16079857","4.4320105","202.22783","161.33012","369.65374","Jovian","1.1300000","G","19.697771","19 41 51.9764","+50 31 03.0900","1.2505956","0.84065740","1.9820503","1.0647976","1.8791638","1.1259913","1.8791638","1.0278615","1.8791638","3.0194110","1.9836585","0.47332457","1","1","Warm","0","0.36862709","Cygnus","Cyg","Swan","13.421749","565.73385","1.6600000"
"18 Del b","3.0000000","3273.6284","","","","","","2008","2014-05-14","993.30000","-3.2000000","3.2000000","2.6000000","","","0.080000000","-0.010000000","0.010000000","","","","166.10000","-6.5000000","6.5000000","2451672.0","-18.000000","18.000000","34.000000","","","","","","","","Radial Velocity","","","","","18 Del","314.60806","10.839286","5.5060000","76.380000","-0.62000000","0.62000000","-0.052000000","-0.023000000","0.023000000","2.3000000","","","8.5000000","","","G6 III","","","","4979.0000","-18.000000","18.000000","","","2.8200000","HD 199665, HIP 103527","","","","","0.26914123","2.6083200","2.3920000","2.8080000","2.6020847","5.9039479","5.0454603","6.9530068","396.65045","381.83005","413.70243","Jovian","8.5000000","G","20.973872","20 58 25.9391","+10 50 21.4296","39.782769","4.9452691","11.966497","6.2639156","11.345312","6.6291433","11.345312","6.0471267","11.345312","17.029868","0.67864811","0.60896698","0","0","Hot","0","0.21617437","Delphinus","Del","Dolphin","12.424038","3273.6284","2.6000000"
"1RXS J160929.1-210524 b","3.0000000","2542.6240","-317.82800","317.82800","","","","2008","2015-04-01","","","","330.00000","","","","","","","","","","","","","","","2280.0000","","","","","","","","Imaging","","","","","1RXS J160929.1-210524","242.37627","-21.083036","","145.00000","-14.000000","14.000000","","","","0.85000000","-0.10000000","0.20000000","","","","K7 V","0.0050000000","","","4060.0000","-200.00000","300.00000","","","",",","","","","","47.561283","330.00000","330.00000","330.00000","330.00001","","","","","","","Jovian","","K","16.158419","16 09 30.3074","-21 04 58.9296","","","","","","","","","","","0.10042903","0.14012839","0","0","","0","","Scorpius","Sco","Scorpion","12.562950","2542.6240","330.00000"
"24 Boo b","3.0000000","289.22348","-31.782800","41.317640","","","","2018","2018-04-26","30.350600","-0.0077000000","0.0078000000","0.19000000","-0.0090000000","0.012000000","0.042000000","-0.029000000","0.048000000","","","","210.00000","-130.00000","100.00000","2450008.6","-7.9000000","10.100000","1.9700000","","","","","","","","Radial Velocity","","","","","24 Boo","217.15755","49.844852","5.5800000","96.250000","-0.64000000","0.64000000","-0.77000000","-0.030000000","0.030000000","0.99000000","-0.13000000","0.19000000","10.640000","-0.59000000","0.84000000","G3 IV","6.9200000","-2.7500000","4.8300000","4893.0000","-15.000000","15.000000","","","2.4200000","HD 127243, HIP 70791","","","","","0.012081025","0.19016758","0.18202000","0.19798000","0.19004195","1611.9403","1483.3039","1754.8280","1613.7579","1581.0749","1648.9350","Jovian","10.640000","G","14.477171","14 28 37.8140","+49 50 41.4672","58.139697","6.0021326","14.574833","7.6026009","13.818243","8.0466759","13.818243","7.3395091","13.818243","20.587336","0.44202580","0.49217655","0","0","Hot","0","0.065684936","Bootes","Boo","Herdsman","13.823874","289.22348","0.19000000"
"24 Sex b","3.0000000","632.47773","-120.77464","82.635281","","","","2010","2014-05-14","452.80000","-4.5000000","2.1000000","1.3330000","-0.0090000000","0.0040000000","0.090000000","-0.060000000","0.14000000","","","","9.2000000","-165.40000","277.90000","2454762.0","-172.30000","67.300000","18.500000","","","","","","","","Radial Velocity","","","","","24 Sex","155.86821","-0.90224400","6.4410000","72.210000","-0.68000000","0.68000000","-0.030000000","-0.040000000","0.040000000","1.5400000","-0.080000000","0.080000000","4.9000000","-0.080000000","0.080000000","K0 IV","2.7000000","-0.40000000","0.40000000","5098.0000","-44.000000","44.000000","","","3.5000000","HD 90043, HIP 50887","","","","","0.090191357","1.3383987","1.2130300","1.4529700","1.3343533","8.2108078","6.8828267","9.8749987","430.60546","412.65453","451.62624","Jovian","4.9000000","K","10.391215","10 23 28.3724","+00 54 08.0784","14.530486","2.9714593","7.1568809","3.7637846","6.7853671","3.9827067","6.7853671","3.6334963","6.7853671","10.292096","0.72838944","0.48748251","0","0","Hot","0","0.17730446","Sextans","Sex","Sextant","13.356050","632.47773","1.3330000"
"24 Sex c","3.0000000","273.33208","-69.922161","111.23980","","","","2010","2014-05-14","883.00000","-13.800000","32.400000","2.0800000","-0.020000000","0.050000000","0.29000000","-0.090000000","0.16000000","","","","220.50000","-320.90000","182.20000","2454930.0","-96.500000","209.90000","28.800000","","","","","","","","Radial Velocity","","","","","24 Sex","155.86821","-0.90224400","6.4410000","72.210000","-0.68000000","0.68000000","-0.030000000","-0.040000000","0.040000000","1.5400000","-0.080000000","0.080000000","4.9000000","-0.080000000","0.080000000","K0 IV","2.7000000","-0.40000000","0.40000000","5098.0000","-44.000000","44.000000","","","3.5000000","HD 90043, HIP 50887","","","","","0.083016328","2.1674640","1.4768000","2.6832000","2.1024946","3.5093722","2.0182457","6.6624930","343.04216","303.66058","409.31164","Jovian","4.9000000","K","10.391215","10 23 28.3724","+00 54 08.0784","14.530486","2.9714593","7.1568809","3.7637846","6.7853671","3.9827067","6.7853671","3.6334963","6.7853671","10.292096","0.72838944","0.48748251","0","0","Hot","0","0.27247760","Sextans","Sex","Sextant","13.858291","273.33208","2.0800000"
