P_NAME,P_RADIUS,P_RADIUS_EST,P_DETECTION,P_YEAR,P_SEMI_MAJOR_AXIS,P_PERIOD,P_MASS,P_DENSITY,P_HABZONE_CON
11 Com b,,12.082709,Radial Velocity,2007,1.2900000,326.03000,6165.8633,,0
11 UMi b,,12.229641,Radial Velocity,2009,1.5300000,516.21997,4684.7848,,0
14 And b,,12.848516,Radial Velocity,2008,0.83000000,185.84000,1525.5744,,0
14 Her b,,12.865261,Radial Velocity,2002,2.9300000,1773.4000,1481.0785,,0
16 Cyg B b,,13.421749,Radial Velocity,1996,1.6600000,798.50000,565.73385,,1
18 Del b,,12.424038,Radial Velocity,2008,2.6000000,993.30000,3273.6284,,0
1RXS J160929.1-210524 b,,12.562950,Imaging,2008,330.00000,,2542.6240,,0
24 Boo b,,13.823874,Radial Velocity,2018,0.19000000,30.350600,289.22348,,0
24 Sex b,,13.356050,Radial Velocity,2010,1.3330000,452.80000,632.47773,,0
24 Sex c,,13.858291,Radial Velocity,2010,2.0800000,883.00000,273.33208,,0
2MASS J01225093-2439505 b,,11.959259,Imaging,2013,52.000000,,7786.7861,,0
2MASS J02192210-3925225 b,16.142400,16.142400,Imaging,2015,156.00000,,4417.8092,1.0502741,0
2MASS J04414489+2301513 b,,12.598676,Imaging,2010,15.000000,,2383.7100,,0
2MASS J12073346-3932539 b,,12.952003,Imaging,2004,46.000000,,1271.3120,,0
2MASS J19383260+4603591 b,,13.383276,Eclipse Timing Variations,2015,0.92000000,416.00000,603.87321,,0
2MASS J21402931+1625183 A b,10.313200,10.313200,Imaging,2009,,7336.5000,6658.4967,6.0701002,0
2MASS J22362452+4751425 b,,12.318663,Imaging,2016,230.00000,,3972.8500,,0
30 Ari B b,,12.264370,Radial Velocity,2009,0.99000000,335.10001,4392.3830,,0
4 UMa b,,12.629095,Radial Velocity,2006,0.87000000,269.30000,2256.5788,,0
42 Dra b,,12.969374,Radial Velocity,2008,1.1900000,479.10000,1233.1727,,0
47 UMa b,,13.215704,Radial Velocity,1996,2.1000000,1078.0000,804.10485,,1
47 UMa c,,14.144978,Radial Velocity,2001,3.6000000,2391.0000,171.62712,,0
47 UMa d,,13.470213,Radial Velocity,2009,11.600000,14002.000,521.23792,,0
51 Eri b,,13.353106,Imaging,2015,13.200000,,635.65601,,0
51 Peg b,,14.228992,Radial Velocity,1995,0.052700000,4.2307850,150.01482,,0
55 Cnc b,,13.879517,Radial Velocity,1996,0.11522700,14.651520,263.98794,,0
55 Cnc c,,8.5133162,Radial Velocity,2004,0.24137600,44.417500,54.475720,,0
55 Cnc d,,12.969667,Radial Velocity,2002,5.5030000,4825.0000,1232.5370,,0
55 Cnc e,1.9057000,1.9057000,Radial Velocity,2004,0.015440000,0.73653900,8.0791878,1.1673581,0
55 Cnc f,,7.5885086,Radial Velocity,2007,0.78800000,262.00000,44.813748,,1
6 Lyn b,,13.350175,Radial Velocity,2008,2.1100000,934.30000,638.83429,,0
61 Vir b,,2.1061683,Radial Velocity,2009,0.050201000,4.2150000,5.0852480,,0
61 Vir c,,4.4511957,Radial Velocity,2009,0.21750000,38.021000,18.116196,,0
