Star,Size (in Solar radii),Ref,Bibcode
Sun,1,,
VV Cephei B,10,,
Delta Boötis,10.5,"Nordgren et al, AJ, 118, 6, pp. 3032-3038 (1999)",1999AJ....118.3032N
Arcturus,25.4,"Ramírez & Allende Prieto, ApJ, 743, 2, pp 14 (2011)",2011ApJ...743..135R
Aldebaran,44.2,"Richichi & Roccatagliata, A&A, 433, 1, pp. 305-312 (2005)",2005A&A...433..305R
Canopus,65,"David Darling Encyclopedia of Science",
Rigel A,78,"Moravveji et al, ApJ, 747, 2, pp. 7 (2012)",2012ApJ...747..108M
Peony Nebula Star,100,"spacemath.gsfc.nasa.gov",
Epsilon Geminorum,140,"Nordgren et al, AJ, 118, 6, pp. 3032-3038 (1999)",1999AJ....118.3032N
Deneb,203,"Schiller & Przybilla, A&A, 479, 3, pp. 849-858 (2008)",2008A&A...479..849S
The Pistol Star,306,"Najarro et al, ApJ, 691, 2, pp. 1816-1827 (2009)",2009ApJ...691.1816N
Alpha Herculis,460,"Perrin et al, A&A, 418, pp. 675-685 (2004)",2004A&A...418..675P
Betelgeuse,1200,"Smith, Hinkle & Ryde, AJ, 137, 3, pp. 3558-3573 (2009)",2009AJ....137.3558S
UY Scuti,1708,"Arroyo-Torres et al, A&A, 554, p 10 (2013)",2013A&A...554A..76A
