Name	Country	Gender	Date of Birth	Time in Space (days)	Time in Space (s)	EVA Time (s)	Number of Launches	Number of EVAs	First Launch	Time dilation (s)	Age at first launch (yr)	Qualifications	Missions	Longest single trip (days)	Total distance covered (km)	EVA (hh:mm)	Type	Filename	In space as of	Twitter
ACABA, Joseph M.	USA	Male	1967-05-17	305.89	26428475	71220	3	3	2009-03-15T23:43Z	0.009528	41	BSc in geology;MSc in geology	STS-119;Soyuz TMA-04M;Soyuz MS-06	168.08	212749223	19:47	astronaut	ACABA_JM.md		AstroAcaba
ACTON, Loren W.	USA	Male	1936-03-07	7.95	686727	0	1	0	1985-07-29T21:00:00Z	0.000248	49	PhD	STS-51-F	7.95	5528152	00:00	astronaut	ACTON_LW.md		
ADAMSON, James C.	USA	Male	1946-03-03	13.93	1203696	0	2	0	1989-08-08T12:37Z	0.000434	43	BSc in engineering;MSc in aerospace engineering	STS-28;STS-43	8.89	9689752	00:00	astronaut	ADAMSON_JC.md		
ADAMS, Mike James	USA	Male	1930-05-05	0.00	0	0	0	0		0.000000	0		X-15 Flight 191	0.00	0	00:00	astronaut	ADAMS_MJ.md		
AFANASYEV, Viktor Mikhailovich	SOV	Male	1948-12-31	555.77	48018869	138780	4	7	1990-12-02T08:13:32Z	0.017311	41		Soyuz TM-11;Soyuz TM-18;Soyuz TM-29;Soyuz TM-33;Soyuz TM-32	188.84	386551895	38:33	cosmonaut	AFANASYEV_VM.md		
AIMBETOV, Aidyn Akanovich	KAZ	Male	1972-07-27	9.84	850434	0	1	0	2015-09-02T04:37:42Z	0.000307	43		Soyuz TMA-18M;Soyuz TMA-16M	9.84	6845993	00:00	international	AIMETOV_AA.md		
AKBAR, Taufik	IDN	Male	1951-01-08	0.00	0	0	0	0		0.000000	0			0.00	0	00:00	international	AKBAR_T.md		
AKERS, Thomas D.	USA	Male	1951-05-20	34.03	2940289	106800	4	4	1990-10-06T11:47:15Z	0.001060	39	MSc in applied mathematics	STS-41;STS-49;STS-61;STS-79	10.83	23669326	29:40	astronaut	AKERS_TD.md		
AKIYAMA, Toyohiro	JPN	Male	1942-07-22	7.91	683681	0	1	0	1990-12-02T08:13:32Z	0.000246	48		Soyuz TM-11;Soyuz TM-10	7.91	5503632	00:00	international	AKIYAMA_T.md		
AKSYONOV, Vladimir Viktorovich	URS	Male	1935-02-01	11.84	1023168	0	2	0	1976-09-15T09:48:30Z	0.000369	41		Soyuz 22;Soyuz T-2	7.91	8236502	00:00	cosmonaut	AKSYONOV_VV.md		
