Name	Country	Gender	Date of Birth	Time in Space (days)	Time in Space (s)	EVA Time (s)	Number of Launches	Number of EVAs	First Launch	Time dilation (s)	Age at first launch (yr)	Qualifications	Missions	Longest single trip (days)	Total distance covered (km)	EVA (hh:mm)	Type
ACABA, Joseph M.	USA	Male	1967-05-17	137.81	11906617	46620	3	1	2009-03-15T23:43Z	0.004292	41		STS-119;STS-119;STS-119;Soyuz TMA-04M;Soyuz TMA-04M;Soyuz TMA-04M;Expedition 31/32 on Soyuz;Expedition 31/32 on Soyuz;Expedition 31/32 on Soyuz;Expedition 31/32 on Soyuz	124.99	95848266	12:57	
ACTON, Loren W.	USA	Male	1936-03-07	7.95	686727	0	1	0	1985-07-29T21:00:00Z	0.000248	49		STS-51-F;STS-51-F;STS-51-F;STS-51-F	7.95	5528152	00:00	
ADAMSON, James C.	USA	Male	1946-03-03	13.93	1203696	0	2	0	1989-08-08T12:37Z	0.000434	43		STS-28;STS-28;STS-28;STS-43;STS-43;STS-43;STS-43	8.89	9689752	00:00	
ADAMS, Mike James	USA	Male	1930-05-05	0.00	0	0	1	0		0.000000	0		X-15 Flight 191;X-15 Flight 191;X-15 Flight 191;X-15 Flight 191	0.00	0	00:00	
AKBAR, Taufik	IDN	Male	1951-01-08	0.00	0	0	0	0		0.000000	0		X-15 Flight 191	0.00	0	00:00	
AKERS, Thomas D.	USA	Male	1951-05-20	34.03	2940289	106800	4	1	1990-10-06T11:47:15Z	0.001060	39		STS-41;STS-41;STS-41;STS-49;STS-49;STS-49;STS-61;STS-61;STS-61;STS-79;STS-79;STS-79;STS-79	10.83	23669326	29:40	
AKIYAMA, Toyohiro	JPN	Male	1942-07-22	0.00	0	0	2	0	1990-12-02T08:13:32Z	0.000000	48		Soyuz TM-11;Soyuz TM-11;Soyuz TM-11;Soyuz TM-10;Soyuz TM-10;Soyuz TM-10;Soyuz TM-10	0.00	0	00:00	
AKSYONOV, Vladimir Viktorovich	URS	Male	1935-02-01	11.84	1023168	0	2	0	1976-09-15T09:48:30Z	0.000369	41		Soyuz 22;Soyuz 22;Soyuz 22;Soyuz T-2;Soyuz T-2;Soyuz T-2;Soyuz T-2	7.91	8236502	00:00	
AL-BASSAM, Abdulmohsen Hamad	SAU	Male	1948-12-12	0.00	0	0	0	0		0.000000	0		Soyuz T-2	0.00	0	00:00	
AL-SAUD, Sultan bin Salman bin Abdulaziz	SAU	Male	1956-06-27	0.00	0	0	1	0		0.000000	0		STS-51G;STS-51G;STS-51G;STS-51G	0.00	0	00:00	
ALDRIN, Buzz	USA	Male	1930-01-20	12.08	1043588	28320	2	1	1966-11-11T20:46:33Z	0.000603	36		Gemini 12;Gemini 12;Gemini 12;Apollo 11;Apollo 11;Apollo 11;Apollo 11	8.14	3500799	07:52	
ALEKSANDROV, Aleksandr Pavlovich 	URS	Male	1943-02-20	309.75	26762639	0	2	0	1983-06-27T09:12Z	0.009648	40		Soyuz T-9;Soyuz T-9;Soyuz T-9;Soyuz TM-3;Soyuz TM-3;Soyuz TM-3;Soyuz TM-3	160.30	215439243	00:00	
ALEKSANDROV, Aleksandr Panayatov 'Sasha'	BGR	Male	1951-12-01	0.00	0	0	2	0	1988-06-07T14:03:13Z	0.000000	36		Soyuz TM-5;Soyuz TM-5;Soyuz TM-5;Soyuz TM-4;Soyuz TM-4;Soyuz TM-4;Soyuz TM-4	0.00	0	00:00	
ALEKSEYEV, Vladimir Borisovich	URS	Male	1933-08-19	0.00	0	0	0	0		0.000000	0		Soyuz TM-4	0.00	0	00:00	
ALLEN, Andrew M.	USA	Male	1955-08-04	37.68	3255188	0	3	0	1992-07-31T13:56:48Z	0.001174	36		STS-46;STS-46;STS-46;STS-62;STS-62;STS-62;STS-75;STS-75;STS-75;STS-75	15.74	26204263	00:00	
ALLEN, Joseph P.	USA	Male	1937-06-27	13.08	1130364	44040	2	1	1982-11-11T12:19Z	0.000408	45		STS-5;STS-5;STS-5;STS-51-A;STS-51-A;STS-51-A;STS-51-A	7.99	9099430	12:14	
ALTMAN, Scott D.	USA	Male	1959-08-15	50.54	4366232	0	4	0	1998-04-17T18:19Z	0.001574	38		STS-90;STS-90;STS-90;STS-106;STS-106;STS-106;STS-109;STS-109;STS-109;STS-125;STS-125;STS-125;STS-125	15.91	35148167	00:00	
AMELKINA, Galina Vasiliyevna	URS	Male	1954-05-22	0.00	0	0	0	0		0.000000	0		STS-125	0.00	0	00:00	
ANDERSON, Clayton C.	USA	Male	1959-02-23	15.12	1306034	138480	3	1	2007-06-08T23:38:04Z	0.000471	48		STS-117;STS-117;STS-117;STS-120;STS-120;STS-120;STS-131;STS-131;STS-131;STS-131	15.12	10513573	38:28	
ANDERSON, Michael P.	USA	Male	1959-12-25	24.76	2138925	0	2	0	1998-01-23T02:48:15Z	0.000771	38		STS-89;STS-89;STS-89;STS-107;STS-107;STS-107;STS-107	15.93	17218346	00:00	
ANDERS, William A.	USA	Male	1933-10-17	6.13	529243	0	1	0	1968-12-21T12:51Z	0.000362	35		Apollo 8;Apollo 8;Apollo 8;Apollo 8	6.13	760000	00:00	
ANDREYEV, Boris Dmitriyevich	URS	Male	1940-10-06	0.00	0	0	0	0		0.000000	0		Apollo 8	0.00	0	00:00	
ANDRYUSHKOV, Aleksandr Stepanovich	URS	Male	1947-10-06	0.00	0	0	0	0		0.000000	0		Apollo 8	0.00	0	00:00	
ANIKEYEV, Ivan Nikolayevich	URS	Male	1933-02-12	0.00	0	0	0	0		0.000000	0		Apollo 8	0.00	0	00:00	
ANOKHIN, Sergei Nikolayevich	URS	Male	1910-04-01	0.00	0	0	0	0		0.000000	0		Apollo 8	0.00	0	00:00	
