Name,X (Mpc),Y (Mpc),Z (Mpc),Supergalactic L,Supergalactic B,Morphology,Velocity (km/s),Optical depth,Heliocentric distance modulus (mag),Method used to determine the distance modulus (C = Cepheid variables in V and I; FP = Fundamental Plane; P = planetary nebulae; S = surface brightness fluctuations in I; T = tip of the red giant branch in I; TF = Tully–Fisher relation),Absolute magnitude in Ks (mag),Absolute magnitude in V (mag),B - V colour (mag),Logarithm of the stellar mass (solar),Inclination to the plane of the sky (deg),Position angle of the line of nodes (deg),Tilt-corrected rotational velocity (km/s),Longitude of the angular momentum vector (deg),Latitude of the angular momentum vector (deg)
NGC 55,-1.756,-1.067,0.321,211.30,8.87,8.7,120.5,0.015,26.573,C;T,-21.36,-18.96,0.425,9.445,81.2 (-),105.0 (+),84,112.7,-2.2
Andromeda,0.296,-0.701,0.288,292.90,20.72,3.0,-301.0,0.070,24.453,C;P;S;T,-24.94,-22.17,0.652,11.042,78.0 (-),37.9 (+),226,198.8,-54.8
NGC 247,-2.420,-2.976,0.320,230.89,4.76,6.9,161.0,0.020,27.922,T,-21.84,-19.41,0.440,9.648,74.8 (+),170.6 (+),105,173.9,66.5
NGC 253,-2.382,-2.506,0.243,226.46,4.02,5.1,236.0,0.022,27.695,P;T,-24.37,-21.40,0.638,10.805,75.9 (+),51.1 (-),217,297.2,48.6
NGC 300,-1.687,-1.162,0.059,214.56,1.66,6.9,144.5,0.015,26.558,C;P;T,-21.19,-18.59,0.550,9.468,46.4 (-),106.8 (-),94,348.5,-3.6
M33,0.207,-0.863,0.134,283.49,8.60,6.0,-180.0,0.048,24.741,C;P;T,-21.77,-19.30,0.462,9.636,54.0 (+),22.5 (-),106,299.8,52.6
M74,-0.160,-8.936,-0.339,268.97,-2.17,5.2,655.5,0.080,29.759,P,-23.14,-20.85,0.482,10.196,9.3 (+),25.0 (+),147,266.6,-11.9
NGC 672,1.094,-5.666,-0.202,280.92,-2.01,6.0,422.0,0.089,28.810,TF in I,-20.54,-18.12,0.457,9.140,64.3 (+),67.5 (+),78,219.5,-32.3
NGC 891,4.592,-8.931,-0.971,297.21,-5.52,3.0,528.0,0.074,30.022,P;T,-24.66,-21.54,0.551,10.856,88.3 (-),22.5 (-),227,340.3,83.8
NGC 925,3.081,-8.899,-1.513,289.10,-9.13,6.9,546.3,0.086,29.902,C,-22.30,-20.30,0.424,9.819,61.0 (+),109.3 (-),112,350.6,-6.0
NGC 1023,4.558,-9.665,-1.860,295.25,-9.87,-2.7,617.0,0.069,30.181,P;S,-24.16,-20.98,0.933,10.935,72.2 (0),85.0 (+),237,–,–
Maffei 1,2.290,-2.352,0.000,314.24,0.01,-5.0,66.4,1.691,27.583,FP in I,-24.24,-21.12,0.879,10.928,–(0),83.9 (0),–,–,–
Maffei 2,2.406,-2.452,-0.044,314.45,-0.74,4.0,-23.0,2.017,27.683,TF in I,-23.90,-21.42,0.470,10.493,67.0 (+),24.5 (-),170,317.0,64.1
