Asteroid name,Reason for name,Category
(3192) A'Hearn,"",""
(3654) AAS,"",""
(8900) AAVSO,"One of the premier astronomical organizations, the American Association of Variable Star Observers (AAVSO) was founded in 1911 by amateur William Tyler Olcott, following Harvard astronomer Edward C. Pickering's prescient vision of a collaboration between amateurs and professionals in the name of science.","science:institution;"
(8721) AMOS,"Named for the Air Force Maui Optical Station (AMOS), the research and development arm of the Maui Space Surveillance System at Haleakala on Maui, Hawaii.  The AMOS project for observations of minor planets is the result of a collaboration between the Air Force Research Laboratory and Eleanor Helin's observing programs at the Jet Propulsion Laboratory.  This collaboration began in 1993 and continues today.  AMOS performs follow-up observations for several programs, primarily the highly successful JPL NEAT program.","science:institution;"
(9996) ANS,"The Astronomical Netherlands Satellite (ANS) was launched on 1974 Aug. 30 as the first Dutch satellite.  Designed as an astronomical observatory, for 20 months it observed celestial objects at ultraviolet and x-ray wavelengths.  ANS discovered the x-ray bursts and detected x-rays from Capella.","science:object;"
(132524) APL,"APL is the Johns Hopkins Applied Physics Laboratory, developers of numerous space missions, including planetary missions like NEAR to (433) Eros, MESSENGER to Mercury and New Horizons to (134340) Pluto and the Kuiper Belt.","science:institution;"
(13830) ARLT,"The ARLT (Automatic Radio-Linked Telescope), a 0.44-m f/4.5 Newtonian located 40 km from Silver City, New Mexico, was one of the first remotely controlled automated CCD imaging facilities.  Some 20~000 images obtained during 1991-1997 contributed to 22 publications or formal presentations.","science:object;"
(31531) ARRL,"Since 1914, the American Radio Relay League has been the largest membership organization of radio amateurs in the U.S.  ARRL promotes interest in &quot;ham&quot; radio and experimentation, maintains high standards of conduct and fraternalism among hams and represents their interests in matters legislative.","science:group;"
(3568) ASCII,"",""
(2848) ASP,"",""
(20813) Aakashshah,"",""
(26557) Aakritijain,"Aakriti Jain (b. 1992) was awarded second place in the 2010 Intel International Science and Engineering Fair for her energy-and-transportation team project.  She attends the Lynbrook High School, San Jose, California, U.S.A.","education:person;"
(28698) Aakshi,"Aakshi Agarwal (b. 1999) is a finalist in the 2013 Broadcom MASTERS, a math and science competition for middle school students, for her biochemistry, medicine, health science, and microbiology project.  She attends the Hamden Middle School, Hamden, Connecticut.",":person;"
(28828) Aalamiharandi,"Arshia Aalami Harandi (b. 1995) was awarded second place in the 2013 Intel International Science and Engineering Fair for his behavioral and social sciences project.  He attends the Roslyn High School, Roslyn Heights, New York, U.S.A.","education:person;"
(677) Aaltje,"",""
(2676) Aarhus,"",""
(22656) Aaronburrows,"Aaron Phillip Burrows (b. 1992) is a finalist in the 2006 Discovery Channel Young Scientist Challenge (DCYSC), a middle school science competition, for his botany and zoology project.  He attends the Bradley Middle School, San Antonio, Texas.","education:person;"
