Altitude (km),Pressure (atm),Pressure (mbar),Temperature (K),log P,log T,Type
-1000,664176320.043737,672976656284.317,750930.942454065,11.828,5.8756,Low Ext
-900,91893202.612172,93110787546.7833,325087.297385434,10.969,5.512,Low Ext
-800,12714034.5590243,12882495516.9313,140734.313831835,10.11,5.1484,Low Ext
-700,1759071.07569513,1782378767.44809,60925.6259749656,9.251,4.7848,Low Ext
-600,243379.15985535,246603933.723434,26375.4574088934,8.392,4.4212,Low Ext
-500,33673.1222918262,34119291.1621929,11418.2618954822,7.533,4.0576,Low Ext
-400,4658.8999877976,4720630.4126359,4943.1068698684,6.674,3.694,Low Ext
-300,644.5897386109,653130.552647472,2139.932132456,5.815,3.3304,Low Ext
-200,89.1832690572,90364.94737223,926.4031007364,4.956,2.9668,Low Ext
-130,22.3348678699,22630.8048691269,515.56093187,4.3547,2.71228,
-100,12.3390972634,12502.5903021772,401.0513660866,4.097,2.6032,Low Ext
-88.434,9.8717,10002.500025,364.7471,4.0001085611,2.5619918476,Low
-80.969,8.6212,8735.4309,341.899,3.9412843327,2.5338978306,Low
-73.954,7.5291,7628.860575,321.9453,3.8824596778,2.5077820893,Low
-67.334,6.5754,6662.52405,304.5191,3.8236387897,2.4836145376,Low
-61.056,5.7424,5818.4868,289.3004,3.7648100534,2.4613490341,Low
-55.079,5.015,5081.44875,276.0095,3.7059875498,2.4409240303,Low
-49.365,4.3798,4437.83235,264.4022,3.6471708917,2.4222650644,Mid
-43.885,3.825,3875.68125,253.7649,3.5883480519,2.4044315516,Mid
-38.624,3.3404,3384.6603,243.4861,3.5295150874,2.3864741735,Mid
-33.578,2.9173,2955.954225,233.4691,3.4706977044,2.3682294092,Mid
-28.735,2.5477,2581.457025,224.1277,3.4118648995,2.3504955344,Mid
-24.092,2.225,2254.48125,214.6085,3.3530466277,2.3316469191,Mid
-19.644,1.9432,1968.9474,205.7225,3.2942341142,2.3132817934,Mid
-15.376,1.697,1719.48525,197.3029,3.2353984547,2.2951334687,Mid
-11.284,1.482,1501.6365,189.1759,3.1765648161,2.2768658088,Mid
-7.359,1.2943,1311.449475,181.5087,3.1177515636,2.2588974463,Mid
-3.6,1.1304,1145.3778,173.6221,3.0589487613,2.2396050048,Mid
0,0.98717,1000.2500025,166.1322,3.0001085611,2.2204538162,Mid
3.445,0.86212,873.54309,159.1502,2.9412843327,2.2018071887,Mid
6.751,0.75291,762.8860575,152.9226,2.8824596778,2.1844716733,Mid
9.935,0.65754,666.252405,147.5949,2.8236387897,2.1690713511,Mid
13.01,0.57424,581.84868,142.6942,2.7648100534,2.154406321,Mid
15.982,0.5015,508.144875,137.7312,2.7059875498,2.1390323313,Mid
18.847,0.43798,443.783235,132.7006,2.6471708917,2.1228728865,Mid
21.609,0.3825,387.568125,127.8803,2.5883480519,2.1068036464,Mid
24.276,0.33404,338.46603,123.7726,2.5295150874,2.0926245139,Mid
26.867,0.29173,295.5954225,120.6285,2.4706977044,2.0814499275,Mid
29.401,0.25477,258.1457025,118.4444,2.4118648995,2.0735145323,Mid
31.897,0.2225,225.448125,116.9694,2.3530466277,2.0680722622,Mid
34.366,0.19432,196.89474,115.9494,2.2942341142,2.0642685056,Mid
36.818,0.1697,171.948525,115.2148,2.2353984547,2.0615082703,Mid
39.255,0.1482,150.16365,114.6259,2.1765648161,2.0592827586,Mid
41.68,0.12943,131.1449475,114.0951,2.1177515636,2.0572669933,Mid
44.094,0.11304,114.53778,113.5517,2.0589487613,2.0551936405,Mid
46.501,0.098717,100.02500025,113.3397,2.0001085611,2.0543820588,Mid
48.91,0.086212,87.354309,113.7428,1.9412843327,2.0559239151,Mid
51.335,0.075291,76.28860575,114.8409,1.8824596778,2.0600965874,Mid
53.787,0.065754,66.6252405,116.3078,1.8236387897,2.065608841,Mid
56.272,0.057424,58.184868,117.8837,1.7648100534,2.0714537585,Mid
58.791,0.05015,50.8144875,119.577,1.7059875498,2.0776476535,Mid
61.349,0.043798,44.3783235,121.4523,1.6471708917,2.0844057437,Mid
63.949,0.03825,38.7568125,123.5487,1.5883480519,2.09183818,Mid
66.595,0.033404,33.846603,125.7381,1.5295150874,2.0994668935,Mid
69.289,0.029173,29.55954225,128.0815,1.4706977044,2.1074864051,Mid
72.036,0.025477,25.81457025,130.7123,1.4118648995,2.1163164565,Mid
74.843,0.02225,22.5448125,133.739,1.3530466277,2.1262580715,Mid
77.717,0.019432,19.689474,136.9338,1.2942341142,2.1365106603,Mid
80.656,0.01697,17.1948525,139.877,1.2353984547,2.1457463092,Mid
83.66,0.01482,15.016365,142.9175,1.1765648161,2.1550854107,Mid
86.729,0.012943,13.11449475,146.177,1.1177515636,2.1648790446,Mid
89.867,0.011304,11.453778,149.3331,1.0589487613,2.1741560807,Mid
93.073,0.0098717,10.002500025,152.441,1.0001085611,2.183101789,Mid
96.343,0.0086212,8.7354309,155.3969,0.9412843327,2.1914423508,Mid
99.674,0.0075291,7.628860575,158.122,0.8824596778,2.1989922989,Mid
103.06,0.0065754,6.66252405,160.5653,0.8236387897,2.2056516951,High
106.494,0.0057424,5.8184868,162.5188,0.7648100534,2.2109036069,High
109.964,0.005015,5.08144875,164.0092,0.7059875498,2.2148682102,High
113.462,0.0043798,4.43783235,165.0994,0.6471708917,2.217745495,High
116.98,0.003825,3.87568125,165.8893,0.5883480519,2.2198183746,High
120.514,0.0033404,3.3846603,166.4776,0.5295150874,2.2213558063,High
124.058,0.0029173,2.955954225,166.8589,0.4706977044,2.2223493762,High
127.61,0.0025477,2.581457025,167.074,0.4118648995,2.2229088704,High
131.164,0.002225,2.25448125,167.166,0.3530466277,2.2231479507,High
134.719,0.0019432,1.9689474,167.1742,0.2942341142,2.2231692536,High
138.276,0.001697,1.71948525,167.1518,0.2353984547,2.2231110577,High
141.833,0.001482,1.5016365,167.0992,0.1765648161,2.2229743707,High
145.388,0.0012943,1.311449475,167.0629,0.1177515636,2.2228800159,High
148.941,0.0011304,1.1453778,167.0369,0.0589487613,2.2228124214,High
152.498,0.00098717,1.0002500025,167.038,0.0001085611,2.2228152814,High
156.054,0.00086212,0.87354309,167.0651,-0.0587156673,2.222885735,High
159.611,0.00075291,0.7628860575,167.117,-0.1175403222,2.2230206308,High
163.17,0.00065754,0.666252405,167.2409,-0.1763612103,2.223342496,High
166.733,0.00057424,0.58184868,167.3974,-0.2351899466,2.2237487083,High
170.3,0.0005015,0.508144875,167.5957,-0.2940124502,2.2242628718,High
173.872,0.00043798,0.443783235,167.8399,-0.3528291083,2.2248952121,High
