Altitude (km),Pressure (mbar),Temperature (K)
-1000,672976656284.317,750930.942454065
-900,93110787546.7833,325087.297385434
-800,12882495516.9313,140734.313831835
-700,1782378767.44809,60925.6259749656
-600,246603933.723434,26375.4574088934
-500,34119291.1621929,11418.2618954822
-400,4720630.4126359,4943.1068698684
-300,653130.552647472,2139.932132456
-200,90364.94737223,926.4031007364
-130,22630.8048691269,515.56093187
-100,12502.5903021772,401.0513660866
-88.434,10002.500025,364.7471
-80.969,8735.4309,341.899
-73.954,7628.860575,321.9453
-67.334,6662.52405,304.5191
-61.056,5818.4868,289.3004
-55.079,5081.44875,276.0095
-49.365,4437.83235,264.4022
-43.885,3875.68125,253.7649
-38.624,3384.6603,243.4861
-33.578,2955.954225,233.4691
-28.735,2581.457025,224.1277
-24.092,2254.48125,214.6085
-19.644,1968.9474,205.7225
-15.376,1719.48525,197.3029
-11.284,1501.6365,189.1759
-7.359,1311.449475,181.5087
-3.6,1145.3778,173.6221
0,1000.2500025,166.1322
3.445,873.54309,159.1502
6.751,762.8860575,152.9226
9.935,666.252405,147.5949
13.01,581.84868,142.6942
15.982,508.144875,137.7312
18.847,443.783235,132.7006
21.609,387.568125,127.8803
24.276,338.46603,123.7726
26.867,295.5954225,120.6285
29.401,258.1457025,118.4444
31.897,225.448125,116.9694
34.366,196.89474,115.9494
36.818,171.948525,115.2148
39.255,150.16365,114.6259
41.68,131.1449475,114.0951
44.094,114.53778,113.5517
46.501,100.02500025,113.3397
48.91,87.354309,113.7428
51.335,76.28860575,114.8409
53.787,66.6252405,116.3078
56.272,58.184868,117.8837
58.791,50.8144875,119.577
61.349,44.3783235,121.4523
63.949,38.7568125,123.5487
66.595,33.846603,125.7381
69.289,29.55954225,128.0815
72.036,25.81457025,130.7123
74.843,22.5448125,133.739
77.717,19.689474,136.9338
80.656,17.1948525,139.877
83.66,15.016365,142.9175
86.729,13.11449475,146.177
89.867,11.453778,149.3331
93.073,10.002500025,152.441
96.343,8.7354309,155.3969
99.674,7.628860575,158.122
103.06,6.66252405,160.5653
106.494,5.8184868,162.5188
109.964,5.08144875,164.0092
113.462,4.43783235,165.0994
116.98,3.87568125,165.8893
120.514,3.3846603,166.4776
124.058,2.955954225,166.8589
127.61,2.581457025,167.074
131.164,2.25448125,167.166
134.719,1.9689474,167.1742
138.276,1.71948525,167.1518
141.833,1.5016365,167.0992
145.388,1.311449475,167.0629
148.941,1.1453778,167.0369
152.498,1.0002500025,167.038
156.054,0.87354309,167.0651
159.611,0.7628860575,167.117
163.17,0.666252405,167.2409
166.733,0.58184868,167.3974
170.3,0.508144875,167.5957
173.872,0.443783235,167.8399
177.45,0.387568125,168.0913
181.035,0.33846603,168.397
184.626,0.2955954225,168.7084
188.225,0.2581457025,169.0415
191.831,0.225448125,169.4059
195.444,0.19689474,169.7554
199.068,0.171948525,170.1303
202.699,0.15016365,170.4953
206.338,0.1311449475,170.8946
209.986,0.11453778,171.3854
213.648,0.1000250003,171.992
217.322,0.087354309,172.5218
221.007,0.0762886058,172.9845
224.702,0.0666252405,173.3885
228.405,0.058184868,173.7414
232.116,0.0508144875,174.0495
235.832,0.0443783235,174.3187
239.555,0.0387568125,174.5537
243.284,0.033846603,174.759
247.016,0.0295595423,174.9382
250.754,0.0258145703,175.0948
254.494,0.0225448125,175.2315
258.237,0.019689474,175.3509
261.984,0.0171948525,175.4552
265.733,0.015016365,175.5463
269.484,0.0131144948,175.6258
273.236,0.011453778,175.6953
276.992,0.0100025,175.756
280.749,0.0087354309,175.8089
284.507,0.0076288606,175.8552
288.266,0.0066625241,175.8956
292.028,0.0058184868,176.4236
295.79,0.0050814488,177.1736
299.552,0.0044378324,178.0244
303.316,0.0038756813,178.8277
307.082,0.0033846603,179.6711
310.847,0.0029559542,180.51
314.615,0.002581457,181.323
318.382,0.0022544813,182.1826
322.149,0.0019689474,182.984
325.919,0.0017194853,183.8125
329.689,0.0015016365,184.6056
333.458,0.0013114495,185.3858
337.228,0.0011453778,186.1914
341,0.00100025,186.9444
350,0.0006660702,184.0136331126
400,0.0001043566,188.5384793614
450,1.63500844431754E-005,193.1745903748
500,2.56165122977036E-006,197.9247021238
600,6.28810811259284E-008,207.7782097504
700,1.5435475046773E-009,218.1222656084
800,3.78895982151477E-011,228.9812912108
900,9.30079345504463E-013,240.3809238746
1000,2.2830740617043E-014,252.3480772481
