Altitude (km),Pressure (atm),Pressure (mbar),Temperature (K),log P,log T,Type
-1000,37551162.608271,38048715512.8305,138995.263121335,10.58034,5.143,Low Ext
-900,7221433.02229264,7317117009.83802,66880.5752684924,9.86434,4.8253,Low Ext
-800,1388747.81160497,1407148720.10873,32181.0344309344,9.14834,4.5076,Low Ext
-700,267068.943003959,270607606.498762,15484.6003176182,8.43234,4.1899,Low Ext
-600,51359.8075339693,52040324.9837944,7450.7501463625,7.71634,3.8722,Low Ext
-500,9876.9621066994,10007831.8546131,3585.0894827656,7.00034,3.5545,Low Ext
-400,1899.4304134153,1924597.86639302,1725.0432972459,6.28434,3.2368,Low Ext
-300,365.2778917679,370117.823833855,830.0418697157,5.56834,2.9191,Low Ext
-200,70.2462892413,71177.0525737113,399.392587178,4.85234,2.6014,Low Ext
-100,13.5090057827,13688.0001092708,192.1763762922,4.13634,2.2837,Low Ext
-84.275,9.8717,10002.500025,170.764,4.0001085611,2.2323963192,Low
-70.912,8.1956,8304.1917,155.944,3.9192973662,2.1929686698,Low
-59.819,6.8042,6894.35565,143.643,3.838493683,2.1572844668,Low
-50.608,5.6489,5723.747925,133.425,3.7576804991,2.1252372115,Low
-42.962,4.6898,4751.93985,124.946,3.6768709347,2.0967223573,Mid
-36.614,3.8936,3945.1902,117.905,3.5960679456,2.0715322226,Mid
-30.696,3.2325,3275.330625,111.242,3.515255146,2.0462687884,Mid
-25.255,2.6837,2719.259025,105.038,3.4344505786,2.0213464439,Mid
-19.934,2.2281,2257.622325,98.2138,3.353651291,1.9921725147,Mid
-15.259,1.8498,1874.30985,92.013,3.2728413875,1.9638491907,Mid
-10.333,1.5357,1556.048025,84.8727,3.1920229967,1.9287680183,Mid
-5.95,1.275,1291.89375,78.7321,3.1112267972,1.8961518354,Mid
-1.532,1.0585,1072.525125,73.3155,3.0304074748,1.8651958007,Mid
2.441,0.87879,890.4339675,68.7928,2.9496017187,1.8375429864,Mid
6.306,0.72959,739.2570675,64.9889,2.8687954852,1.8128391862,Mid
9.947,0.60572,613.74579,62.2709,2.7879885261,1.7942851426,Mid
13.371,0.50288,509.54316,60.4229,2.7071809761,1.7812015654,Mid
16.9,0.4175,423.031875,58.4891,2.6263730922,1.7670749387,Mid
19.991,0.34661,351.2025825,56.7897,2.5455577007,1.7542695745,Mid
23.38,0.28776,291.57282,56.1908,2.4647470372,1.7496652153,Mid
