Altitude (km),Pressure (mbar),Temperature (K)
-1000,38048715512.8305,138995.263121335
-900,7317117009.83802,66880.5752684924
-800,1407148720.10873,32181.0344309344
-700,270607606.498762,15484.6003176182
-600,52040324.9837944,7450.7501463625
-500,10007831.8546131,3585.0894827656
-400,1924597.86639302,1725.0432972459
-300,370117.823833855,830.0418697157
-200,71177.0525737113,399.392587178
-100,13688.0001092708,192.1763762922
-84.275,10002.500025,170.764
-70.912,8304.1917,155.944
-59.819,6894.35565,143.643
-50.608,5723.747925,133.425
-42.962,4751.93985,124.946
-36.614,3945.1902,117.905
-30.696,3275.330625,111.242
-25.255,2719.259025,105.038
-19.934,2257.622325,98.2138
-15.259,1874.30985,92.013
-10.333,1556.048025,84.8727
-5.95,1291.89375,78.7321
-1.532,1072.525125,73.3155
2.441,890.4339675,68.7928
6.306,739.2570675,64.9889
9.947,613.74579,62.2709
13.371,509.54316,60.4229
16.9,423.031875,58.4891
19.991,351.2025825,56.7897
23.38,291.57282,56.1908
26.581,242.0755575,55.7743
29.671,200.968005,55.5156
32.969,166.8518775,55.1449
36.064,138.5214075,54.8848
39.199,115.003875,54.811
42.426,95.4785475,55.2037
45.455,79.26756075,55.88
48.744,65.80957425,56.608
52.003,54.6364665,57.4479
55.113,45.36016275,58.7684
58.588,37.6584495,59.7602
62.039,31.264842,60.8523
65.353,25.95642525,61.9893
69,21.549801,63.4286
72.366,17.89095525,64.9231
76.211,14.85323175,67.391
79.997,12.3312525,70.1394
83.77,10.237878,73.1677
88.214,8.499647625,78.6071
92.52,7.056576975,84.185
97.331,5.858510175,92.2846
102.63,4.86380265,98.9735
107.806,4.0380039,105.729
114.216,3.35243895,112.353
120.405,2.783296425,118.476
127.061,2.310716625,124.344
134.196,1.918386225,129.901
140.843,1.59262635,134.867
148.816,1.32229125,139.363
156.164,1.09775505,143.429
164.195,0.9113879775,146.826
172.476,0.75665457,149.745
180.323,0.6281846025,151.985
189.339,0.5215299075,153.79
197.527,0.43298199,155.241
206.716,0.3594707025,156.394
215.747,0.298442655,157.301
224.735,0.2477700225,157.994
234.347,0.2056998825,158.309
243.15,0.170773155,158.485
253.419,0.1417840725,158.544
262.733,0.1177092525,158.429
272.682,0.0977249228,158.271
282.496,0.081132954,158.022
292.058,0.0673578203,157.822
302.325,0.0559222808,157.671
311.657,0.046427115,157.551
322.167,0.0385450433,157.464
331.983,0.0320004615,157.407
341.957,0.026567415,157.378
352.207,0.022056426,157.371
361.667,0.018311454,157.385
372.406,0.015202803,157.414
382.001,0.0126220553,157.445
392.503,0.0104790315,157.464
402.492,0.0086996632,157.458
412.586,0.0072225473,157.404
422.928,0.0059963122,157.293
432.634,0.0049782999,157.12
443.332,0.0041330468,156.899
452.92,0.0034312698,156.646
463.709,0.0028487524,156.387
473.712,0.0023650268,156.151
484.067,0.0019634759,155.96
494.472,0.0016301166,155.825
504.376,0.001353398,155.75
515.184,0.0011235929,155.733
524.951,0.0009328283,155.755
535.895,0.0007744574,155.786
546.147,0.0006429679,155.846
556.644,0.0005338004,155.924
567.475,0.0004431753,156.014
577.567,0.0003679313,156.115
589.199,0.0003054645,156.216
599.857,0.0002535962,156.32
611.461,0.0002105432,156.427
623.257,0.0001747958,156.723
634.649,0.0001451177,156.77
647.733,0.0001204754,156.814
660.056,0.000100025,156.855
700,4.84953390498341E-005,156.9903652935
800,8.98876445170907E-006,157.8018171594
900,1.66609591666697E-006,158.6174632581
1000,3.08816146918451E-007,159.4373252687
