Altitude (km),Pressure (mbar),Temperature (K)
-1000,26996036.0861501,1937.4031432396
-900,10263606.6626415,1522.7198177924
-800,3902114.42114136,1196.7956445144
-700,1483542.52614749,940.632543159
-600,564027.137431895,739.2987978401
-500,214437.136888646,581.0586891373
-400,81526.725622404,456.6884204443
-300,30995.5965983738,358.9384639915
-200,11784.1971593314,282.1109867583
-181.775,10002.500025,269.9028
-167.539,8735.4309,261.0916
-153.766,7628.860575,252.292
-140.456,6662.52405,243.5434
-127.605,5818.4868,234.8647
-115.214,5081.44875,226.2506
-103.279,4437.83235,217.6535
-91.8,3875.68125,209.1022
-80.769,3384.6603,200.6813
-70.187,2955.954225,192.3708
-60.04,2581.457025,184.2567
-50.322,2254.48125,176.4229
-41.016,1968.9474,168.8441
-32.1,1719.48525,161.6641
-23.558,1501.6365,154.9176
-15.373,1311.449475,148.4358
-7.528,1145.3778,142.2465
0,1000.2500025,136.4346
7.224,873.54309,130.9965
14.165,762.8860575,125.8646
20.842,666.252405,121.1568
27.272,581.84868,116.6748
33.468,508.144875,112.4445
39.446,443.783235,108.5619
45.224,387.568125,105.0018
50.826,338.46603,101.9534
56.273,295.5954225,99.3228
61.592,258.1457025,97.1009
66.8,225.448125,95.2276
71.916,196.89474,93.6627
76.961,171.948525,92.5148
81.952,150.16365,91.6369
86.899,131.1449475,90.9337
91.813,114.53778,90.4015
96.707,100.02500025,90.0308
101.585,87.354309,89.806
106.455,76.28860575,89.7205
111.323,66.6252405,89.7186
116.197,58.184868,89.8717
121.085,50.8144875,90.2078
125.996,44.3783235,90.7132
130.94,38.7568125,91.3673
135.927,33.846603,92.2314
140.971,29.55954225,93.4806
146.093,25.81457025,94.9706
151.302,22.5448125,96.7295
156.613,19.689474,98.7033
162.039,17.1948525,100.818
167.589,15.016365,103.2057
173.278,13.11449475,105.9667
179.123,11.453778,108.9501
185.139,10.002500025,112.0288
191.322,8.7354309,115.0892
197.67,7.628860575,118.0638
204.182,6.66252405,121.0353
210.859,5.8184868,124.0081
217.696,5.08144875,126.8735
224.682,4.43783235,129.4283
231.799,3.87568125,131.5935
239.029,3.3846603,133.416
246.352,2.955954225,134.9904
253.758,2.581457025,136.3306
261.233,2.25448125,137.4841
268.767,1.9689474,138.4351
276.353,1.71948525,139.2059
283.98,1.5016365,139.842
291.637,1.311449475,140.2917
299.317,1.1453778,140.6588
307.022,1.0002500025,140.9623
314.744,0.87354309,141.2366
322.484,0.7628860575,141.509
330.24,0.666252405,141.7955
338.017,0.58184868,142.1241
345.813,0.508144875,142.4112
353.624,0.443783235,142.6272
361.449,0.387568125,142.7753
369.285,0.33846603,142.881
377.126,0.2955954225,142.9759
384.976,0.2581457025,143.0277
392.831,0.225448125,143.1182
400.694,0.19689474,143.26
408.572,0.171948525,143.4583
416.465,0.15016365,143.717
424.374,0.1311449475,144.0381
432.303,0.11453778,144.4076
440.261,0.1000250003,144.8279
448.244,0.087354309,145.2986
456.257,0.0762886058,145.7921
464.299,0.0666252405,146.2835
472.371,0.058184868,146.7659
480.474,0.0508144875,147.3178
488.608,0.0443783235,147.8112
496.773,0.0387568125,148.3198
504.971,0.033846603,148.8394
513.198,0.0295595423,149.3547
521.457,0.0258145703,149.8608
529.746,0.0225448125,150.3647
538.063,0.019689474,150.8058
546.41,0.0171948525,151.2334
554.782,0.015016365,151.6259
563.175,0.0131144948,151.9715
571.588,0.011453778,152.2945
580.026,0.0100025,152.5867
588.479,0.0087354309,152.8237
596.948,0.0076288606,153.015
605.428,0.0066625241,153.1698
613.921,0.0058184868,153.2923
622.421,0.0050814488,153.3803
630.927,0.0044378324,153.4391
639.44,0.0038756813,153.4525
647.957,0.0033846603,153.4348
656.472,0.0029559542,153.3904
664.99,0.002581457,153.3109
673.503,0.0022544813,153.1748
682.008,0.0019689474,152.9778
690.51,0.0017194853,152.7953
699.003,0.0015016365,152.5785
707.483,0.0013114495,152.3289
715.951,0.0011453778,152.0713
724.413,0.00100025,151.835
800,0.0002923479,154.6165576491
900,5.90065196995665E-005,155.9688966886
1000,1.19096774599519E-005,157.3330638332
