Altitude (km),Pressure (mbar),Temperature (K)
0,1440,93.9
0.5,1400,93.3
1,1370,92.7
1.5,1340,92.1
2,1300,91.5
3,1240,90.5
4,1180,89.5
5,1120,88.5
6,1060,87.3
8,957,85.5
10,859,83.6
12,770,82.1
14,688,80.6
16,614,79.2
18,547,78
20,487,76.7
22,432,75.7
24,383,74.7
26,340,73.9
28,300,73.1
30,265,72.3
32,235,71.8
34,207,71.5
36,183,71.4
38,161,71.2
40,142,71.1
42,126,71.1
44,111,71.2
46,9.81,71.4
48,8.67,71.5
50,76.7,71.7
52,67.9,72.2
54,60.1,72.8
56,53.4,73.8
58,47.5,75.4
60,42.3,77.6
62,37.9,80.9
64,34.2,85.9
66,31,92.6
68,28.3,100.5
70,26,106.1
72,24,111.9
74,22.3,116.6
76,20.7,119.7
78,19.3,122.7
80,18,125.8
82,16.8,128.8
84,15.7,131.5
86,14.7,133.8
88,13.8,135.8
90,13,137.6
92,12.2,139.1
94,11.5,140.6
96,10.8,142.1
98,10.2,143.7
100,9.61,145.1
102,9.06,146.5
104,8.56,147.8
106,8.08,149
108,7.63,150.1
110,7.22,151
112,6.82,151.9
114,6.45,152.6
116,6.1,153.4
118,5.78,154.3
120,5.48,155.3
122,5.19,156.3
124,4.91,157.5
126,4.66,158.6
128,4.42,159.6
130,4.19,160.5
132,3.9,161.2
134,3.78,161.8
136,3.59,162.4
138,3.41,163
140,3.24,163.7
142,3.08,164.5
144,2.93,165.3
146,2.78,166
148,2.65,166.7
150,2.52,167.4
152,2.4,167.9
154,2.29,168.5
156,2.17,169
158,2.07,169.5
160,1.97,169.9
162,1.88,170.4
164,1.79,170.8
166,1.71,171
168,1.63,171.2
170,1.55,171.4
172,1.48,171.6
174,1.41,171.8
176,1.35,172
178,1.28,172.2
180,1.22,172.4
182,1.16,172.5
184,1.11,172.7
186,1.06,172.9
188,1.01,173
190,0.964,173.2
192,0.92,173.4
194,0.877,173.6
196,0.837,173.8
198,0.798,173.9
200,0.759,174
500,0.1,180
