Altitude (km),Pressure (atm),Pressure (mbar),Temperature (K)  ,log P,log (T),Type
-1000,42987321.7089773,43556903721.6212,23933.1575640539,10.639057,4.379,Low Ext
-900,7887414.91924327,7991923166.92325,13899.5263121336,9.9026513,4.143,Low Ext
-800,1447201.44533473,1466376864.48542,8072.3503024884,9.1662456,3.907,Low Ext
-700,265535.92587974,269054276.897647,4688.1338214527,8.4298399,3.671,Low Ext
-600,48721.1563808953,49366711.7029422,2722.7013080779,7.6934342,3.435,Low Ext
-500,8939.4723942805,9057920.4035047,1581.2480392704,6.9570285,3.199,Low Ext
-400,1640.2354259276,1661968.54532114,918.3325964836,6.2206228,2.963,Low Ext
-300,300.9542547711,304941.898646861,533.3348954876,5.4842171,2.727,Low Ext
-200,55.2197946911,55951.4569707961,309.7419299217,4.7478114,2.491,Low Ext
-100,10.1318578402,10266.1049565387,179.8870915129,4.0114057,2.255,Low Ext
-98.5,9.86923,9999.9972975,178.51,3.9999998826,2.25166255,Low
-91.5,8.79349,8910.0037425,172.05,3.9498778865,2.235654677,Low
-84.9,7.83617,7939.9992525,165.77,3.8998204615,2.2195059375,Low
-78.4,6.98742,7080.003315,159.78,3.850033461,2.2035224168,Mid
-72.2,6.22749,6310.0042425,153.94,3.8000296512,2.1873514822,Mid
-66.3,5.54651,5620.0012575,148.24,3.7497364127,2.1709654063,Mid
-60.5,4.94449,5010.0044925,142.7,3.6998381153,2.1544239731,Mid
-55,4.41155,4470.0030375,137.3,3.6503078182,2.1376705372,Mid
-49.7,3.92795,3979.9953375,132.07,3.5998825633,2.1208041778,Mid
-44.5,3.50358,3550.002435,127,3.5502286509,2.103803721,Mid
-39.6,3.11868,3160.00251,122.08,3.4996874276,2.0866445206,Mid
-34.9,2.78312,2819.99634,117.32,3.4502485447,2.0693720543,Mid
-30.3,2.47718,2510.002635,112.7,3.3996741774,2.051923916,Mid
-26,2.21071,2240.0019075,108.23,3.3502483882,2.0343476584,Mid
-21.8,1.97385,2000.0035125,103.9,3.3010307584,2.0166155476,Mid
-17.7,1.75672,1779.99654,99.58,3.2504191581,1.9981721219,Mid
-13.9,1.55934,1580.001255,95.26,3.1986574319,1.9789105772,Mid
-10.2,1.39156,1409.99817,91.29,3.149218549,1.9604232071,Mid
-6.7,1.24352,1259.99664,87.32,3.100369387,1.941113727,Mid
-3.3,1.10535,1119.9958875,82.85,3.049216428,1.9182925128,Mid
0,0.986923,999.99972975,80.21,2.9999998826,1.9042285163,Mid
3.4,0.879349,891.00037425,76.9,2.9498778865,1.8859263398,Mid
6.7,0.783617,793.99992525,73.6,2.8998204615,1.8668778143,Mid
10,0.698742,708.0003315,71.04,2.850033461,1.8515029528,Mid
13.2,0.622749,631.00042425,68.49,2.8000296512,1.8356271662,Mid
16.3,0.554651,562.00012575,66.39,2.7497364127,1.8221026686,Mid
19.4,0.494449,501.00044925,64.29,2.6998381153,1.8081434258,Mid
22.3,0.441155,447.00030375,62.63,2.6503078182,1.7967824117,Mid
25.2,0.392795,397.99953375,60.96,2.5998825633,1.7850449583,Mid
28.1,0.350358,355.0002435,59.66,2.5502286509,1.775683249,Mid
30.9,0.311868,316.000251,58.35,2.4996874276,1.7660408604,Mid
33.6,0.278312,281.999634,57.29,2.4502485447,1.7580788222,Mid
36.3,0.247718,251.0002635,56.24,2.3996741774,1.750045312,Mid
38.9,0.221071,224.00019075,55.43,2.3502483882,1.7437448786,Mid
41.5,0.197385,200.00035125,54.62,2.3010307584,1.7373516958,Mid
44.1,0.175672,177.999654,54.07,2.2504191581,1.7329563696,Mid
46.7,0.156921,159.00020325,53.52,2.2013976795,1.7285161048,Mid
49.2,0.139156,140.999817,53.1,2.149218549,1.7250945211,Mid
51.7,0.124352,125.999664,52.68,2.100369387,1.7216457663,Mid
54.2,0.110535,111.99958875,52.55,2.049216428,1.7205727204,Mid
56.7,0.0986923,99.999972975,52.42,1.9999998826,1.7194970166,Mid
59.2,0.0879349,89.100037425,52.42,1.9498778865,1.7194970166,Mid
61.7,0.0783617,79.399992525,52.42,1.8998204615,1.7194970166,Mid
64.2,0.0698742,70.80003315,52.38,1.850033461,1.7191654941,Mid
66.7,0.0622749,63.100042425,52.35,1.8000296512,1.718916686,Mid
69.2,0.0554651,56.200012575,52.42,1.7497364127,1.7194970166,Mid
71.7,0.0494449,50.100044925,52.49,1.6998381153,1.7200765728,Mid
74.2,0.0441155,44.700030375,52.64,1.6503078182,1.7213158806,Mid
76.7,0.0392795,39.799953375,52.79,1.5998825633,1.722551662,Mid
79.2,0.0350358,35.50002435,52.94,1.5502286509,1.723783937,Mid
81.8,0.0311868,31.6000251,53.1,1.4996874276,1.7250945211,Mid
84.3,0.0278312,28.1999634,53.36,1.4502485447,1.7272158209,Mid
86.8,0.0247718,25.10002635,53.63,1.3996741774,1.729407797,Mid
89.4,0.0221071,22.400019075,54.01,1.3502483882,1.7324741773,Mid
92,0.0196398,19.90002735,54.39,1.2988536733,1.7355190588,Mid
94.6,0.0175672,17.7999654,55.14,1.2504191581,1.7414667618,Mid
97.2,0.0155934,15.80001255,55.88,1.1986574319,1.7472563974,Mid
99.9,0.0139156,14.0999817,56.82,1.149218549,1.7545012294,Mid
102.7,0.0124352,12.5999664,57.76,1.100369387,1.7616271846,Mid
105.4,0.0110535,11.199958875,58.79,1.049216428,1.7693034602,Mid
108.3,0.00986923,9.9999972975,59.83,0.9999998826,1.7769190028,Mid
111.1,0.00879349,8.9100037425,60.97,0.9498778865,1.785116195,Mid
114.1,0.00783617,7.9399992525,62.12,0.8998204615,1.7932314471,Mid
117.1,0.00698742,7.080003315,63.44,0.850033461,1.8023631743,Mid
120.2,0.00622749,6.3100042425,64.76,0.8000296512,1.8113068401,Mid
123.3,0.00554651,5.6200012575,66.33,0.7497364127,1.8217099973,Mid
126.5,0.00494449,5.0100044925,67.89,0.6998381153,1.8318058087,Mid
129.8,0.00441155,4.4700030375,69.71,0.6503078182,1.8432950827,Mid
