Date,Class,Value (W/m*2)
1976-03-23T08:37,X1,0.000100
1976-03-28T19:12,X1,0.000100
1976-04-30T20:48,X2,0.000200
1977-09-07T22:27,X2,0.000200
1977-09-09T16:04,X2,0.000200
1977-09-19T10:28,X2,0.000200
1977-10-12T01:58,X1,0.000100
1977-11-22T10:26,X1,0.000100
1978-01-08T07:10,X1,0.000100
1978-04-08T01:15,X1,0.000100
1978-04-11T13:40,X2,0.000200
1978-04-28T13:08,X5,0.000500
1978-04-29T18:37,X3,0.000300
1978-04-30T14:37,X2,0.000200
1978-05-07T03:33,X2,0.000200
1978-05-28T14:57,X1,0.000100
1978-07-09T00:01,X3,0.000300
1978-07-10T06:20,X3,0.000300
1978-07-11T10:54,X15,0.001500
1978-07-11T22:15,X2,0.000200
1978-09-23T09:47,X1,0.000100
1978-12-11T18:33,X1,0.000100
1978-12-12T15:03,X2,0.000200
1978-12-12T18:36,X1,0.000100
1978-12-12T20:12,X2,0.000200
1978-12-13T23:53,X1,0.000100
1978-12-14T07:22,X1,0.000100
1978-12-27T16:27,X1,0.000100
1979-01-13T19:31,X1,0.000100
1979-02-16T01:45,X2,0.000200
1979-02-18T06:49,X1,0.000100
1979-02-18T16:36,X2,0.000200
1979-02-21T14:18,X1,0.000100
1979-03-01T09:55,X1,0.000100
1979-03-25T18:02,X1,0.000100
1979-03-26T11:50,X1,0.000100
1979-03-27T05:43,X1,0.000100
1979-04-27T07:05,X1,0.000100
1979-06-04T03:55,X1,0.000100
1979-06-05T05:08,X2,0.000200
1979-06-10T08:06,X2,0.000200
1979-08-18T13:46,X1,0.000100
1979-08-18T14:03,X6,0.000600
1979-08-20T09:06,X5,0.000500
1979-08-26T16:17,X2,0.000200
1979-09-16T09:37,X3,0.000300
1979-09-19T22:56,X5,0.000500
1979-09-22T01:51,X1,0.000100
1979-10-19T11:54,X1,0.000100
1979-11-08T11:24,X1,0.000100
1979-11-10T06:42,X1,0.000100
1979-12-19T22:02,X1,0.000100
1979-12-20T05:59,X1,0.000100
1980-01-08T10:10,X1,0.000100
1980-02-08T09:00,X2,0.000200
1980-04-04T14:57,X5,0.000500
1980-04-06T14:18,X2,0.000200
1980-05-01T18:51,X3,0.000300
1980-05-21T20:51,X1.4,0.000140
1980-05-28T19:24,X1.1,0.000110
1980-06-04T22:57,X2.2,0.000220
1980-06-21T01:17,X2.6,0.000260
1980-07-01T16:22,X2.5,0.000250
1980-07-11T18:51,X1,0.000100
1980-07-14T08:22,X1.1,0.000110
1980-10-14T05:42,X3.3,0.000330
1980-10-25T09:42,X3.9,0.000390
