Age,Duration (Myr),Start (-Myr),End (-Myr),Type,Description,Reference,Include?
-10,10,4578,4568,Formation process,Lifetime of previous massive star ,,true
-2,0,4570,4570,Formation event,Nearby supernova of massive star,,true
0,0,4568,4568,Formation event,Oldest minerals in meteorites,,true
0,0,4568,4568,Formation event,Formation of asteroids and comets,,true
0,4,4568,4564,Formation process,Formation of the giant planets,,true
0,10,4568,4558,Formation process,Terrestrial planets formed,http://www.sciencedirect.com/science/article/pii/S0019103501968113# ; 2002Icar..157...43K,true
0,568,4568,4000,Geological eon,Hadean eon,,true
0,68,4568,4500,Geological era,Cryptic Era,http://www.sciencedirect.com/science/article/pii/S0019103507006094 ; 2008Icar..196..258L,true
5,10,4563,4553,Formation process,Gas and dust disk depleted,http://www.sciencedirect.com/science/article/pii/S0019103501968113 ; 2002Icar..157...43K,true
60,30,4508,4478,Formation process,Formation of the Moon,,true
68,200,4500,4300,Geological era,Basin Groups Era,,true
100,400,4468,4068,Formation process,Jupiter and Saturn fall into resonance,http://www.sciencedirect.com/science/article/pii/S0019103507006094 ; 2008Icar..196..258L,true
168,0,4400,4400,Geological event,Oldest minerals on Earth,,true
168,0,4400,4400,Formation event,Formation of Saturn's rings,,true
200,100,4368,4268,Formation process,Cluster of stars disperses,http://arxiv.org/abs/0903.0237,true
268,200,4300,4100,Formation process,Formation of the large lunar basins,,true
268,200,4300,4100,Geological era,Nectarian Era,,true
468,100,4100,4000,Geological era,Early Imbrian Era,,true
468,0,4100,4100,Life event,Possible primordial life,,true
500,200,4068,3868,Formation process,Late Heavy Bombardment,,true
568,1500,4000,2500,Geological eon,Archaen eon,,true
568,0,4000,4000,Geological event,Oldest rocks on Earth,,true
568,400,4000,3600,Geological era,Eoarchean Era,,true
800,100,3768,3668,Formation process,Uranus and Neptune switch places,,true
968,400,3600,3200,Geological era,Paleoarchean Era,,true
968,0,3600,3600,Life event,First simple single-celled life and first microfossils,,true
1368,400,3200,2800,Geological era,Mesoarchean Era,,true
1768,300,2800,2500,Geological era,Neoarchean Era,,true
