Telescope,Type,Shape,Largest dimension (m),Smallest dimension (m),Number of dishes/elements,EM regime,Shortest wavelength (m),Longest wavelength (m),Maximum theoretical resolution (arcseconds),Actual resolution (if known),Max number of pixels,Country(ies),Operated from,Latitude (deg),Longitude (deg),Altitude/Distance (m),First light,End operation,Under construction/design?,Notable?,Notable for years,Type,URL,Notes,
Human eye,Refractor,Circle,0.01,,2,Optical,0.0000004,0.00000075,102,,,,,n/a,n/a,,,,,,,,,,
Galileo's Telescope,Refractor,Circle,0.06,,1,Optical,,,,,,ITA,,,,10,1609,,,Yes,,,,Elevation estimated,
Swedish Solar Telescope,Refractor,Circle,1,,1,Optical,,,,,,SWE,"Roque de los Muchachos Observatory, La Palma",28.7636,-17.8947,2400,,,,,,,,,
Jacobus Kapteyn Telescope,Reflector,Circle,1,,1,Optical,,,,,,ESP,"Roque de los Muchachos Observatory, La Palma",28.7636,-17.8947,2400,1984,,,,,,,,
1m reflector,Reflector,Circle,1,,1,Optical,,,,,,ZAF,"South African Astronomical Observatory, Sutherland, South Africa",-33.9347,18.4776,1800,,,,,,,,,
Yerkes Observatory,Refractor,Circle,1.01,,1,Optical,,,,,,USA,"Williams Bay, Wisconsin, USA",42.57028,-88.55611,330,1893,,,Yes,Yes,Optical,,,
Mercator Telescope,Reflector,Circle,1.2,,1,Optical,,,,,,BEL,"Roque de los Muchachos Observatory, La Palma",28.7636,-17.8947,2400,,,,,,,,,
Leviathan of Parsonstown,Refractor,Circle,1.8,,1,Optical,0.0000004,0.00000075,,,,IRE,"Birr Castle, County Offaly, Ireland",53.095,-7.92,70,1845,1890,,Yes,Yes,Optical,,,
Plaskett telescope,Reflector,Circle,1.82,,1,Optical,,,,,,CAN,"Dominion Astrophysical Observatory, Canada",48.520286,123.418147,230,1918,,,,,,,,
David Dunlap Observatory,Reflector,Circle,1.88,,1,Optical,,,,,,CAN,"Richmond Hill, Ontario, Canada",43.862954,-79.422687,220,1935,,,,,,,,
1.9m reflector,Reflector,Circle,1.9,,1,Optical,,,,,,ZAF,"South African Astronomical Observatory, Sutherland, South Africa",-33.9347,18.4776,1800,,,,,,,,,
Faulkes Telescope North,Reflector,Circle,2,,1,Optical,,,,,2k x 2k,USA,"Mt Haleakala, Hawaii, USA",20.7075,-156.256111,3055,2003,,,,Yes,Optical,http://lcogt.net/network/2m/faulkes-telescope-north,,
Faulkes Telescope South,Reflector,Circle,2,,1,Optical,,,,,2k x 2k,USA,"Siding Spring, Australia",-31.273333,149.071111,1100,2004,,,,Yes,Optical,http://lcogt.net/network/2m/faulkes-telescope-south,,
Liverpool Telescope,Reflector,Circle,2,,1,Optical,,,,,,GBR,"Roque de los Muchachos Observatory, La Palma",28.7636,-17.8947,2400,,,,,,,,,
Otto Struve Telescope,Reflector,Circle,2.1,,1,Optical,,,,,,USA,"McDonald Observatory, Texas, USA",30.67139,-104.0225,2000,1939,,,,Yes,Optical,,,
Hooker Telescope,Reflector,Circle,2.5,,1,Optical,,,0.05,,,USA,"Mt Wilson Observatory, USA",34.2247,-118.0572,1700,1917,,,Yes,Yes,Optical,,,
Isaac Newton Telescope,Reflector,Circle,2.54,,1,Optical,,,,,2k x 2k,GBR;NLD;ESP,"Roque de los Muchachos Observatory, La Palma",28.7636,-17.8947,2400,1967,,,Yes,Yes,Optical,http://www.ing.iac.es/PR/int_info/intoptics.html,First light in Herstmonceaux (moved in 1987),
Nordic Optical Telescope,Reflector,Circle,2.56,,1,Optical,,,,,,NOR,"Roque de los Muchachos Observatory, La Palma",28.7636,-17.8947,2400,,,,,,,,,
MPI-CAHA 3.5m,Reflector,Circle,3.5,,1,Optical,,,,,,DEU;ESP,"Calar Alto Obs., Spain",37.2207917,-2.546575,2200,1984,,,,,,,,
ESO 3.6 m Telescope,Reflector,Circle,3.57,,1,Optical;NearIR;IR,,,,,2k x 2k,ESO,"Cerro La Silla, Chile",-29.26117,-70.73133,2400,1977,,,,Yes,Optical,http://www.eso.org/public/teles-instr/lasilla/36/,,
Canada-France-Hawaii Telescope,Reflector,Circle,3.58,,1,Optical,,,,,,CAN;FRA;USA,"Mauna Kea, Hawaii, USA",19.82444,-155.47333,4200,1979,,,,Yes,Optical,,,
New Technology Telescope,Reflector,Circle,3.58,,1,Optical,,,,,2k x 2k,ESO,"Cerro La Silla, Chile",-29.26117,-70.73133,2400,1989,,,,Yes,Optical,,,
Telescopio Nazionale Galileo,Reflector,Circle,3.58,,1,Optical,,,,,,ITA,"Roque de los Muchachos Observatory, La Palma",28.7636,-17.8947,2400,1997,,,,,,,,
3.67m AEOS Telescope,Reflector,Circle,3.67,,1,Optical,,,,,,USA,"Haleakala, Hawaii, USA",20.7083,-156.2571,3000,1996,,,,,,,,
UKIRT,Reflector,Circle,3.8,,1,NearIR;IR,,,,,,GBR,"Mauna Kea, Hawaii, USA",19.82444,-155.47333,4200,1978,,,,Yes,IR,,,
Anglo-Australian Telescope,Reflector,Circle,3.89,,1,Optical,,,,,,AUS;GBR,"Siding Spring, Australia",-31.27333,149.06444,1100,1975,,,Yes,Yes,Optical,,,
Victor M. Blanco Telescope,Reflector,Circle,4,,1,Optical,,,,,,USA,"Cerro Tololo, Chile",-30.1696611,-70.806525,2200,1976,,,,,,,,
Nicholas U. Mayall 4m,Reflector,Circle,4,,1,Optical,,,,,,USA,"Kitt Peak National Observatory, Arizona, USA",31.9583,-111.5967,2000,1973,,,,,,,,
SOAR,Reflector,Circle,4.1,,1,Optical,,,,,,USA;BRA,"Cerro Pachon, Chile",30.240722,-70.736583,2700,2002,,,,,,,,
William Herschel Telescope (WHT),Reflector,Circle,4.2,,1,Optical,,,,,2k x 2k,GBR;ESP;NLD,"Roque de los Muchachos Observatory, La Palma",28.7636,-17.8947,2400,1987,,,Yes,Yes,Optical,http://www.ing.iac.es/PR/wht_info/whtoptics.html,,
Hale Telescope,Reflector,Circle,5.1,,1,Optical,,,,,,USA,"Palomar Observatory, California, USA",33.356306,-116.864889,1700,1949,,,Yes,Yes,Optical,,,
BTA-6,Reflector,Circle,6,,1,Optical,,,,,,RUS,"Zelenchukskaya, Caucasus",43.85,41.6,2000,1976,,,,,,,,
Walter Baade Telescope,Reflector,Circle,6.5,,1,Optical,,,,,,USA,"Las Campanas, Chile",-29.0146,-70.6926,2400,2000,,,,,,https://obs.carnegiescience.edu/Magellan; http://www.lco.cl/telescopes-information/magellan/,one of the Magellan telescopes,
Landon Clay Telescope,Reflector,Circle,6.5,,1,Optical,,,,,,USA,"Las Campanas, Chile",-29.0146,-70.6926,2400,2000,,,,,,https://obs.carnegiescience.edu/Magellan; http://www.lco.cl/telescopes-information/magellan/,one of the Magellan telescopes,
MMT,Reflector,Circle,6.5,,1,Optical,,,,,,USA,"Mt Hopkins, Arizona",31.68111,-110.87833,2600,2000,,,,,,http://www.mmto.org/,,
Subaru Telescope,Reflector,Circle,8.2,,1,Optical,,,,,,JAP,"Mauna Kea, Hawaii, USA",19.82444,-155.47333,4200,1999,,,Yes,Yes,Optical,,,
Gemini North,Reflector,Circle,8.1,,1,Optical,,,,,,USA,"Mauna Kea, Hawaii, USA",19.82444,-155.47333,4200,1999,,,Yes,Yes,Optical,,,
Gemini South,Reflector,Circle,8.1,,1,Optical,,,,,,USA,"Cerro Pachon, Chile",30.240722,-70.736583,2700,2000,,,Yes,,,,,
Large Synoptic Survey Telescope,Reflector,Circle,8.4,,1,Optical,,,,,,USA,"Cerro Pachon, Chile",30.240722,-70.736583,2700,2015,,Yes,,Yes,Optical,,,
Large Sky Area Multi-Object Fiber Spectroscopic Telescope,Reflector,Hexagon (24 segments),5.7,4.4,1,Optical,,,,,,CHN,"Hebei, China",40.3957611,117.575861,1000,2009,,,,,,,No central aperture; http://d366w3m5tf0813.cloudfront.net/wp-content/uploads/LAMOST-mirror_555px.jpg ,
Hobby-Eberly Telescope,Reflector,Hexagon (91 segments),9.2,,1,Optical,,,,,,USA,"McDonald Observatory, Texas, USA",30.67139,-104.0225,2000,1996,,,,,,,No central aperture; See e.g. http://www.astro.virginia.edu/class/majewski/astr511/lectures/optics3/HET.jpg,
SALT,Reflector,Hexagon (91 segments),11,,1,Optical,,,,,,ZAF,"South African Astronomical Observatory, Sutherland, South Africa",-33.9347,18.4776,1800,2005,,,Yes,Yes,Optical,,No central aperture; See e.g. http://www.astro.virginia.edu/class/majewski/astr511/lectures/optics3/HET.jpg,
