Symbol,Element,Type,Periodic Table Column,Periodic Table Row,Created,Human role (wikipedia)
H,Hydrogen,Non-metal,1,1,Big Bang,Basic
He,Helium,Non-metal,18,1,Big Bang;Low-mass stars;Low-mass star deaths;Massive stars;Supernovae (Massive stars),
Li,Lithium,Metal,1,2,Big Bang;Low-mass stars;Radioactive Decay;Low-mass star deaths,Functional
Be,Beryllium,Metal,2,2,Radioactive Decay,
B,Boron,Metalloid,13,2,Radioactive Decay,Functional
C,Carbon,Non-metal,14,2,Low-mass stars;Low-mass star deaths;Massive stars;Supernovae (Massive stars),Basic
N,Nitrogen,Non-metal,15,2,Low-mass stars;Low-mass star deaths;Massive stars;Supernovae (Massive stars),Basic
O,Oxygen,Non-metal,16,2,Low-mass stars;Massive stars;Supernovae (Massive stars),Basic
F,Fluorine,Non-metal,17,2,Supernovae (Massive stars),Functional
Ne,Neon,Non-metal,18,2,Massive stars;Supernovae (Massive stars),
Na,Sodium,Metal,1,3,Massive stars;Supernovae (Massive stars),Quantity
Mg,Magnesium,Metal,2,3,Massive stars;Supernovae (Massive stars),Quantity
Al,Aluminum,Metal,13,3,Massive stars;Supernovae (Massive stars),
Si,Silicon,Metalloid,14,3,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),Functional
P,Phosphorus,Non-metal,15,3,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),Quantity
S,Sulfur,Non-metal,16,3,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),Quantity
Cl,Chlorine,Non-metal,17,3,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),Quantity
Ar,Argon,Non-metal,18,3,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),
K,Potassium,Metal,1,4,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),Quantity
Ca,Calcium,Metal,2,4,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),Quantity
Sc,Scandium,Metal,3,4,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),
Ti,Titanium,Metal,4,4,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),
V,Vanadium,Metal,5,4,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),Functional
Cr,Chromium,Metal,6,4,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),Functional
Mn,Manganese,Metal,7,4,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),Trace
Fe,Iron,Metal,8,4,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),Trace
Co,Cobalt,Metal,9,4,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),Trace
Ni,Nickel,Metal,10,4,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),Trace
Cu,Copper,Metal,11,4,Massive stars;Supernovae (Massive stars);Supernovae (white dwarfs),Trace
Zn,Zinc,Metal,12,4,Supernovae (Massive stars);Supernovae (white dwarfs),Trace
Ga,Gallium,Metal,13,4,Supernovae (Massive stars),
Ge,Germanium,Metalloid,14,4,Supernovae (Massive stars),
As,Arsenic,Metalloid,15,4,Supernovae (Massive stars),Functional
Se,Selenium,Non-metal,16,4,Supernovae (Massive stars),Trace
Br,Bromine,Non-metal,17,4,Supernovae (Massive stars),Trace
Kr,Krypton,Non-metal,18,4,Supernovae (Massive stars),
Rb,Rubidium,Metal,1,5,Supernovae (Massive stars),
Sr,Strontium,Metal,2,5,Low-mass star deaths;Supernovae (Massive stars),Functional
Y,Yttrium,Metal,3,5,Low-mass star deaths;Supernovae (Massive stars),
Zr,Zirconium,Metal,4,5,Low-mass star deaths;Massive stars,
Nb,Niobium,Metal,5,5,Low-mass star deaths;Merging neutron stars,
Mo,Molybdenum,Metal,6,5,Low-mass star deaths;Merging neutron stars,Trace
Tc,Technetium,Metal,7,5,Radioactive decay,
Ru,Ruthenium,Metal,8,5,Low-mass star deaths;Merging neutron stars,
Rh,Rhodium,Metal,9,5,Low-mass star deaths;Merging neutron stars,
Pd,Palladium,Metal,10,5,Low-mass star deaths;Merging neutron stars,
Ag,Silver,Metal,11,5,Low-mass star deaths;Merging neutron stars,
Cd,Cadmium,Metal,12,5,Low-mass star deaths;Merging neutron stars,
In,Indium,Metal,13,5,Low-mass star deaths;Merging neutron stars,
Sn,Tin,Metal,14,5,Low-mass star deaths;Merging neutron stars,
Sb,Antimony,Metalloid,15,5,Low-mass star deaths;Merging neutron stars,
Te,Tellurium,Metalloid,16,5,Low-mass star deaths;Merging neutron stars,
I,Iodine,Non-metal,17,5,Low-mass star deaths;Merging neutron stars,Trace
Xe,Xenon,Non-metal,18,5,Low-mass star deaths;Merging neutron stars,
Cs,Caesium,Metal,1,6,Low-mass star deaths;Merging neutron stars,
Ba,Barium,Metal,2,6,Low-mass star deaths;Merging neutron stars,
La,Lanthanum,Metal,3,9,Low-mass star deaths;Merging neutron stars,
Ce,Cerium,Metal,4,9,Low-mass star deaths;Merging neutron stars,
Pr,Praseodymium,Metal,5,9,Low-mass star deaths;Merging neutron stars,
Nd,Neodymium,Metal,6,9,Low-mass star deaths;Merging neutron stars,
Pm,Promethium,Metal,7,9,Radioactive decay,
Sm,Samarium,Metal,8,9,Low-mass star deaths;Merging neutron stars,
Eu,Europium,Metal,9,9,Low-mass star deaths;Merging neutron stars,
Gd,Gadolinium,Metal,10,9,Low-mass star deaths;Merging neutron stars,
Tb,Terbium,Metal,11,9,Low-mass star deaths;Merging neutron stars,
Dy,Dysprosium,Metal,12,9,Low-mass star deaths;Merging neutron stars,
Ho,Holmium,Metal,13,9,Low-mass star deaths;Merging neutron stars,
Er,Erbium,Metal,14,9,Low-mass star deaths;Merging neutron stars,
Tm,Thulium,Metal,15,9,Low-mass star deaths;Merging neutron stars,
Yb,Ytterbium,Metal,16,9,Low-mass star deaths;Merging neutron stars,
Lu,Lutetium,Metal,17,9,Low-mass star deaths;Merging neutron stars,
Hf,Hafnium,Metal,4,6,Low-mass star deaths;Merging neutron stars,
Ta,Tantalum,Metal,5,6,Low-mass star deaths;Merging neutron stars,
W,Tungsten,Metal,6,6,Low-mass star deaths;Merging neutron stars,
Re,Rhenium,Metal,7,6,Low-mass star deaths;Merging neutron stars,
Os,Osmium,Metal,8,6,Low-mass star deaths;Merging neutron stars,
Ir,Iridium,Metal,9,6,Low-mass star deaths;Merging neutron stars,
Pt,Platinum,Metal,10,6,Low-mass star deaths;Merging neutron stars,
Au,Gold,Metal,11,6,Low-mass star deaths;Merging neutron stars,
Hg,Mercury,Metal,12,6,Low-mass star deaths;Merging neutron stars,
Tl,Thallium,Metal,13,6,Low-mass star deaths;Merging neutron stars,
Pb,Lead,Metal,14,6,Low-mass star deaths;Merging neutron stars,
Bi,Bismuth,Metal,15,6,Merging neutron stars,
Po,Polonium,Metalloid,16,6,Radioactive decay;Merging neutron stars,
At,Astatine,Non-metal,17,6,Radioactive decay;Merging neutron stars,
Rn,Radon,Non-metal,18,6,Radioactive decay;Merging neutron stars,
Fr,Francium,Metal,1,7,Radioactive decay;Merging neutron stars,
Ra,Radium,Metal,2,7,Radioactive decay;Merging neutron stars,
Ac,Actinium,Metal,3,10,Radioactive decay;Merging neutron stars,
Th,Thorium,Metal,4,10,Supernovae (Massive stars);Merging neutron stars,
Pa,Protactinium,Metal,5,10,Radioactive decay;Merging neutron stars,
U,Uranium,Metal,6,10,Supernovae (Massive stars);Merging neutron stars,
Np,Neptunium,,7,10,Radioactive decay;Merging neutron stars,
Pl,Plutonium,,8,10,Supernovae (Massive stars);Merging neutron stars,
Am,Americium,,9,10,Radioactive decay,
Cm,Curium,,10,10,Radioactive decay,
Bk,Berkelium,,11,10,Radioactive decay,
Cf,Californium,,12,10,Radioactive decay,
Es,Einsteinium,,13,10,Artificial,
Fm,Fermium,,14,10,Artificial,
Md,Mendelevium,,15,10,Artificial,
No,Nobelium,,16,10,Artificial,
Lr,Lawrencium,,17,10,Artificial,
Rf,Rutherfordium,,4,7,Artificial,
Db,Dubnium,,5,7,Artificial,
Sg,Seaborgium,,6,7,Artificial,
Bh,Bohrium,,7,7,Artificial,
Hs,Hassium,,8,7,Artificial,
Mt,Meitnerium,,9,7,Artificial,
Ds,Darmstadtium,,10,7,Artificial,
Rg,Roentgenium,,11,7,Artificial,
